Gene,CB_Exc,HB_Exc,Tel_Exc,MB_Inh,Purkinje
LHX1,0.04711349,0.06368748,0.0044045607,0.19204733,1.0
ESRRB,0.012929722,0.0038231108,0.0042998614,0.026042735,1.0
EBF3,0.42555684,0.15516533,0.024000162,0.09360688,1.0
BHLHE22,0.11961028,0.16651662,1.0,0.018616632,0.30737785
TSHZ2,0.30645907,0.99942,0.16870354,1.0,0.17069834
PAX2,0.015618339,0.098253146,0.017270757,0.06657987,1.0
ZNF804B,0.9179839,1.0,0.16586393,0.6443419,0.31098688
TSHZ3,0.05804727,1.0,0.55418485,0.34625542,0.18498145
PAX8,0.098379195,1.0,0.37384853,0.14327988,0.6035967
GBX1,0.044982128,1.0,0.10791386,0.11151006,0.24657536
SIX3,0.0111146895,0.01622975,0.035892833,1.0,0.006074102
PAX5,0.073833205,0.19454865,0.46894825,1.0,0.17062306
NHLH2,0.48034987,0.80084753,0.11038169,0.04763681,1.0
LHX5,0.0056332937,0.035020802,0.020271733,1.0,0.6741397
EBF2,0.343787,0.17682117,0.2748014,0.052937616,1.0
SOX14,0.0001511676,0.0016743063,0.0011750085,1.0,0.0012350504
DMBX1,0.00034856697,0.0005977808,4.013883e-05,1.0,0.02560115
OTX2,0.030556869,0.001173065,0.002384495,1.0,0.0011079223
GATA3,0.00013013917,0.0069745113,0.0017702245,1.0,0.0007360937
TAL2,0.007818596,0.0058197198,0.01125427,1.0,0.0036852981
TOX3,0.15305288,0.53743553,0.15085198,1.0,0.2152514
EMX2,0.0010773246,0.0053406497,0.3842699,1.0,0.011235016
ST18,1.0,0.751594,0.16545807,0.85871184,0.19733962
TFAP2B,0.007430506,0.02455696,0.015107594,0.7043297,1.0
PAX7,0.0067080534,0.019511838,0.005452646,1.0,0.0047117663
ISL1,0.040629286,0.87926847,0.10777533,1.0,0.04103706
ONECUT2,0.56400394,1.0,0.18061875,0.4184087,0.46299353
POU2F2,0.14697434,0.49514812,0.30708003,1.0,0.7908473
POU6F2,0.14207473,0.34737462,0.14758335,1.0,0.11048008
ONECUT1,0.00970264,1.0,0.010334991,0.0705546,0.016972182
SIM1,0.07382315,0.73852473,0.60114354,1.0,0.81191987
PITX2,0.0672318,0.5957182,0.371616,1.0,0.7140752
POU3F1,0.06217728,0.38290575,0.3749212,0.28164962,1.0
NR5A2,0.09081342,0.47047067,1.0,0.1688439,0.16408561
POU4F1,0.017423876,0.7514808,0.06126766,0.12572405,1.0
LHX2,0.018913178,0.07868351,1.0,0.048872177,0.015965935
ZBTB7C,1.0,0.5471227,0.6895112,0.55895394,0.3373516
TCF7L2,0.50312895,0.20364584,0.2916058,1.0,0.07295458
LHX9,0.08709651,0.20257375,1.0,0.3630269,0.05527393
ZFHX3,0.0076911193,0.111695506,0.032227274,1.0,0.034547277
LMX1B,0.02591563,1.0,0.0671464,0.47862136,0.6254254
LHX6,0.10952836,0.21243528,1.0,0.4945529,0.073751755
ARX,0.011337784,0.19545195,1.0,0.9758124,0.043197885
DLX2,0.041139003,0.12085301,0.7263883,1.0,0.045963574
DLX5,0.02661773,0.08083592,1.0,0.71346253,0.0271836
DLX1,0.0031576576,0.40840223,0.4336126,1.0,0.012899146
DLX6,0.036057275,0.109503075,0.50604135,1.0,0.022660812
RARB,0.53589046,1.0,0.14756143,0.27680987,0.32467076
BCL11B,0.015362388,0.069465816,1.0,0.15677056,0.08534138
SHOX2,0.0082590785,0.14008738,0.19484311,1.0,0.040158536
PRDM13,0.07577015,0.056497086,0.11096209,0.034708295,1.0
FOXN2,0.4012811,0.47892618,1.0,0.22607683,0.33180794
LMX1A,1.0,0.25758848,0.1914106,0.26312333,0.30206695
ZNF385B,0.8241472,0.1984211,0.043254394,0.17126426,1.0
PCBP3,1.0,0.16279057,0.019682925,0.027335437,0.012171785
HIVEP3,1.0,0.106595576,0.24285163,0.22614144,0.29460892
HOXA3,0.0037032124,1.0,0.002558635,0.0036720845,0.01408045
NFIX,0.06926173,1.0,0.6161533,0.0114771975,0.023256231
HES6,0.34133908,1.0,0.46119624,0.046520688,0.048949387
TSHZ1,0.107931636,1.0,0.06936829,0.142515,0.04523605
CASZ1,0.31805545,1.0,0.04429107,0.08984719,0.039667573
DACH2,0.10311386,1.0,0.04352078,0.028616345,0.03407879
BARHL1,0.25929558,1.0,0.004301505,0.011086931,0.005940872
NHLH1,0.14247733,1.0,0.18146929,0.015786938,0.1498251
HOXB3,0.002032311,1.0,0.0017324182,0.0017829533,0.008385002
ZMAT4,1.0,0.5573562,0.065927036,0.45099705,0.042780984
MYT1L,0.27643165,0.944235,0.9522043,0.8491284,1.0
DPF3,0.658786,1.0,0.053555336,0.07872189,0.35237515
SATB2,0.058218073,0.036065478,1.0,0.002604317,0.0051926407
NEUROD6,0.021576278,0.04135304,1.0,0.0032479365,0.024334386
NEUROD2,0.08184366,0.3590136,1.0,0.0044264114,0.111076854
EOMES,0.026579803,0.002554247,1.0,0.0010792485,0.023299944
ESR2,0.30384645,0.20278284,1.0,0.25545198,0.13687856
NEUROG1,0.012188119,0.024192384,1.0,0.018464217,0.031915966
EMX1,0.001844723,0.0021969713,1.0,0.0034297819,0.012173152
INSM1,1.0,0.80355155,0.7069116,0.38508612,0.1889379
CREB3L2,0.66033024,1.0,0.33036032,0.33856842,0.7172848
SOX10,0.24696071,1.0,0.6398657,0.7312534,0.56909114
NKX2-2,0.014602381,0.2660776,0.056751315,1.0,0.043591302
SOX8,0.028287472,1.0,0.0868643,0.026783565,0.015308615
OLIG1,0.19134489,1.0,0.18469761,0.18369098,0.08134828
OLIG2,0.5975154,1.0,0.3802448,0.16566414,0.14329006
ETV1,0.72073716,0.24331765,0.21364096,0.059451014,1.0
SOX13,0.4530922,0.446004,0.20364344,1.0,0.4678094
WT1,0.39984116,1.0,0.17266218,0.061950035,0.34551966
MSX1,0.15861467,1.0,0.097033285,0.10239675,0.09397303
PRDM6,0.0049385033,1.0,0.0026081898,0.0013431498,0.0015630078
PAX3,1.0,0.35796922,0.020248044,0.44403294,0.17656647
NR3C2,1.0,0.1263165,0.110064834,0.025159286,0.091557264
GLIS3,0.45765832,1.0,0.48964846,0.21589908,0.3737492
RORB,0.8448737,0.12640963,0.26338124,0.8982271,1.0
NR2E1,0.008059429,0.013437718,1.0,0.10988566,0.034611423
FOXG1,0.00071539776,0.004651933,1.0,0.017291244,0.013690441
GLI3,0.54683006,0.03214687,1.0,0.14850347,0.06891336
PRDM16,0.0103659015,0.025678145,1.0,0.024840359,0.04028212
PLAGL1,1.0,0.24093693,0.9386523,0.4280203,0.31124896
GLI2,1.0,0.07352817,0.49441057,0.035777632,0.026894545
ASCL1,0.062048063,0.14980753,0.7726964,1.0,0.1741981
PRRX1,0.29155084,1.0,0.6798573,0.32523766,0.23819914
BNC2,1.0,0.57775146,0.58613855,0.54807913,0.2332179
THRB,0.6779567,0.08201429,1.0,0.47978583,0.40556538
TBX18,0.74345464,1.0,0.3399287,0.24392827,0.24736065
FOXF2,0.30935493,0.80211604,1.0,0.19172163,0.30551618
ETS1,0.18749619,0.6393387,1.0,0.16308787,0.15297903
SMAD6,0.97961086,1.0,0.8739363,0.16678856,0.31797475
ID1,0.7735283,1.0,0.47931495,0.23821062,0.17078051
LEF1,0.03808705,0.021068407,0.03999943,1.0,0.0068239905
SOX17,0.20262748,0.8687485,1.0,0.08969833,0.11824866
SOX18,0.2984204,0.6013428,1.0,0.20343949,0.1312832
KLF2,0.26833206,0.6487706,1.0,0.13440512,0.13976152
MECOM,0.2177078,1.0,0.06556371,0.15945521,0.0334026
KLF4,1.0,0.8704221,0.90630347,0.15302382,0.17716049
NPAS2,0.2894678,0.70009035,1.0,0.34499356,0.4792919
FLI1,0.28346223,0.624826,1.0,0.09230367,0.19324388
EPAS1,0.34821066,0.9649388,1.0,0.14386821,0.21350141
FOXQ1,0.4005215,0.6192337,1.0,0.12185432,0.1441638
SMARCA2,0.03976062,1.0,0.10772765,0.09303425,0.08348113
ERG,0.3039412,0.85840625,1.0,0.11660783,0.20466113
NFKBIZ,0.74701375,0.9007761,1.0,0.263308,0.49294722
PLEK,0.09067666,0.119621135,1.0,0.012968433,0.061370943
MAF,0.7332298,1.0,0.6502798,0.4959493,0.22545046
BHLHE41,0.8802954,1.0,0.5750764,0.18185332,0.68445307
IFI16,0.2039773,0.48442423,1.0,0.44802687,0.12442264
MITF,1.0,0.3254143,0.5250854,0.0727402,0.35111544
MAFB,0.3658988,1.0,0.5807195,0.4873964,0.29341707
NR4A2,0.5378238,0.75514024,1.0,0.24727081,0.2871768
RUNX1,0.34600112,0.9675715,0.8936024,1.0,0.31781203
ZBTB16,0.064,1.0,0.5225892,0.4965396,0.4952456
STAT4,0.26239574,1.0,0.44174305,0.85315967,0.41226774
RUNX3,0.22054689,0.33489168,1.0,0.034170788,0.10395485
MXD1,0.82628495,0.9563211,0.79855686,1.0,0.71022975
IKZF1,0.22466157,0.3272471,1.0,0.22491519,0.04615906
ZFP57,,,,,
SHOX,,,,,
SHOX,,,,,
TFDP3,,,,,
SOX1,,,,,
ZBED1,,,,,
ZBED1,,,,,
ZBTB8B,,,,,
POU5F2,,,,,
HOXC9,,,,,
NR2F1,0.26932687,0.24576621,0.24748781,0.3239409,1.0
TGIF2LX,,,,,
DPF1,0.14399756,0.40579715,0.48268798,0.6849322,1.0
FOXP2,0.104932204,0.052276228,0.067949116,0.26806405,1.0
FOXP4,0.048814133,0.052321635,1.0,0.5524086,0.9461119
FAM170A,,,,,
ARNTL2,0.10206664,0.22460678,0.10525403,0.08843174,1.0
HOXC12,0.0,1.0,0.0,0.86730045,0.87950456
HOXC8,0.0,0.0,0.0,0.0,1.0
ZNF385D,0.06204596,0.043747995,0.007960338,0.18358438,1.0
NPAS3,0.090762086,0.07554155,0.08666296,0.36115673,1.0
BCL11A,0.13476737,0.2787527,0.6632316,0.46282408,1.0
ZNF618,0.4612428,0.5715142,0.18038905,0.8616892,1.0
RORA,0.18476175,0.076326095,0.061805572,0.2145867,1.0
HOXD11,1.0,0.0,0.8636539,0.0,0.62846714
KDM5B,0.323314,0.71557856,0.76779103,0.8708823,1.0
TFAP2A,0.019967664,0.02898245,0.017245151,0.06690174,1.0
SOX4,0.3080194,0.81765836,0.5887029,0.64465207,1.0
SMARCA4,0.3817972,0.8184619,0.7122835,0.7094605,1.0
HLTF,0.40558028,0.33880854,0.44447556,0.9941817,1.0
UBTF,0.5891745,0.8449389,1.0,0.65993315,0.6907299
HOXC4,0.011195553,1.0,0.013536714,0.040242743,0.05065946
ZNF34,0.51922494,0.8348002,0.84984833,0.7914942,1.0
ZNF157,0.27045435,0.5733334,0.83309835,0.67045254,1.0
SCAPER,0.58746237,0.8293514,1.0,0.8340635,0.8330587
HOXA5,0.0,1.0,0.0,0.03335771,0.033827096
ESRRG,1.0,0.30729595,0.0660768,0.20287848,0.6567386
HOXA7,0.0,0.909603,0.0,0.39444956,1.0
HOXB6,0.0,1.0,0.19083714,0.13694218,0.092579424
HOXB8,0.0,1.0,0.6043176,0.43365023,0.43975228
ETV3L,0.45462087,0.32485822,0.58895266,0.56349933,1.0
PKNOX2,0.05196576,0.22542445,0.09996096,1.0,0.36196804
HOXB7,0.11662033,1.0,0.2014392,0.14455007,0.29316816
