Gene,CB_Exc,HB_Exc,Tel_Exc,MB_Inh,Purkinje
LHX1,0.008340366380380281,0.009649153925290007,0.0007288942245851735,0.02830595040305212,0.16395744282549687
ESRRB,0.012907709874398054,0.0033701089077299655,0.0044591176092269435,0.024398498553935142,0.6130385947396337
EBF3,0.9484188055403863,0.5915073255525205,0.05578184624619474,0.22586302381391915,0.9610932576206671
BHLHE22,0.02487216402720548,0.03281421831210756,0.18724006345667368,0.0037228478247492464,0.05113725000780007
TSHZ2,0.14913369408727598,0.3341019546631665,0.03751661450070746,0.38148421635591656,0.08054350878287729
PAX2,0.003971603038276325,0.0125226152045124,0.003044205290914548,0.011599286197772445,0.1697918941686687
ZNF804B,0.08469443479124261,0.08042144098761929,0.012262573425374094,0.03781305765799028,0.038594739633708776
TSHZ3,0.005659534329543762,0.10656639114548228,0.05783990052737641,0.036982339548335484,0.017596954853202708
PAX8,0.0011914809114828974,0.010642449182305155,0.005445268618959825,0.0017537382314934465,0.005319646812891953
GBX1,0.00044680534180608646,0.006137145695129306,0.0007288942245851735,0.0006153467478924373,0.0017472153754953044
SIX3,0.0008439656456337189,0.0013835183936996701,0.002058054281181666,0.04368961910036306,0.00045240398115503416
PAX5,0.001886511443181254,0.003263684415906914,0.006517171890408609,0.015014460648575471,0.003120027456241615
NHLH2,0.08057389663903093,0.1299797793465536,0.015478283239720447,0.006984185588579164,0.15241334123740288
LHX5,0.0013404160254182594,0.005675972897229415,0.002958453029198645,0.20417205095071073,0.11633022370596861
EBF2,0.2514024723228913,0.1298378800241229,0.09544226728979976,0.030798104732016492,0.38182896009484885
SOX14,4.964503797845405e-05,0.0007094966121536769,0.00042876130857951377,0.46658667158944067,0.000624005491248323
DMBX1,0.0005957404557414487,0.0004966476285075739,4.287613085795138e-05,0.5741800504584333,0.03087267167951078
OTX2,0.06002085091595095,0.002022065344637979,0.004330489216653089,0.8111808504092056,0.0019968175719946336
GATA3,0.00014893511393536217,0.005959771542090887,0.001586416841744201,0.6997723217032797,0.0006708059030919472
TAL2,0.0011914809114828974,0.0007449714427613609,0.0015435407108862495,0.0669497261706972,0.00039000343203020186
TOX3,0.40748647172715086,0.8208875802618042,0.2949877803027055,0.9265891329764322,0.44285669713893483
EMX2,0.0005957404557414487,0.0027315619567916563,0.1917849333276165,0.3962525383053351,0.0045864403606751735
ST18,0.6490095814923298,0.6647983255879953,0.14119109891523388,0.31859577872130945,0.15079092696015725
TFAP2B,0.0033758625825348757,0.0072723402745751885,0.003172833683488402,0.1067934280967325,0.23326885276590434
PAX7,0.0030283473166856974,0.00801731171733655,0.0021009304120396177,0.375669189588333,0.0020124177092758415
ISL1,0.0005460954177629946,0.01050054985987442,0.00124340779488059,0.008676389145283367,0.0003744032947489938
ONECUT2,0.052127289877376755,0.09202171059633191,0.017364832997470308,0.038459171743277336,0.044132788368537644
POU2F2,0.026758675470386736,0.08574266557877186,0.0543240577970244,0.16199003138268414,0.13826401672334718
POU6F2,0.013304870178225686,0.02479690659477101,0.010418899798482185,0.05421204848932373,0.01248010982496646
ONECUT1,0.0010921908355259892,0.1023448863031679,0.0012005316640226386,0.006338071503292105,0.0014508127671523509
SIM1,0.0003475152658491784,0.002093015005853347,0.0011147794023067359,0.0017845055688880684,0.0013884122180275187
PITX2,0.00014893511393536217,0.0012061442406612508,0.0006002658320113193,0.0017537382314934465,0.0014040123553087267
POU3F1,0.0021347366330735245,0.010039377061974528,0.012905715388243364,0.008337948433942527,0.03413310037128327
