,tSNE1,tSNE2
E0_332,7.8122015,-2.8530538
E1_27,-17.313116,15.786352
E2_379,14.402034,-6.3482947
E3_364,16.576855,-9.006331
E4_160,-11.262515,3.1893356
E5_428,15.812738,-5.5722284
E6_9,-21.529747,14.066887
E7_423,13.469621,-8.120364
E8_284,8.786721,-0.8947571
E9_72,-16.11315,12.3608885
E10_358,11.8606825,-6.3637824
E11_222,-7.0483418,-1.2760593
E12_70,-16.001093,8.827702
E13_112,-15.212074,4.8891597
E14_93,-15.099011,6.1437197
E15_354,15.005923,-6.370162
E16_465,14.979245,-5.451644
E17_454,18.674091,-7.9183636
E18_299,5.721762,-2.3380194
E19_380,5.284664,-0.11649246
E20_99,-13.5843935,12.120252
E21_103,-17.38949,3.7605882
E22_469,14.512606,-5.9806256
E23_367,14.44588,-8.318326
E24_158,-15.6047125,3.3164818
E25_104,-14.922503,5.561404
E26_242,4.4086685,-3.0515964
E27_368,8.395368,-4.533738
E28_311,5.260628,-2.3814979
E29_356,10.330814,-6.2821565
E30_255,1.5303239,-2.0338688
E31_156,-10.951136,0.9617265
E32_99,-16.34061,7.139463
E33_330,8.119205,-2.0743728
E34_458,16.196718,-8.010356
E35_175,-15.388051,7.155034
E36_243,4.6218762,-2.0432692
E37_337,4.1674824,-2.8486254
E38_144,-12.103001,10.129462
E39_49,-15.597762,14.38685
E40_94,-15.461187,7.8780046
E41_422,13.900257,-4.875993
E42_204,-0.5445831,0.8805831
E43_360,-0.08516151,1.9915692
E44_37,-16.350874,14.706934
E45_21,-18.32738,15.293866
E46_313,12.012154,-4.928842
E47_442,14.400405,-9.245672
E48_374,14.074904,-9.397627
E49_3,-22.662743,13.574293
E50_318,8.491133,-0.56523454
E51_451,14.171228,-8.761764
E52_221,-0.93042576,0.089210086
E53_295,8.078377,-1.8017364
E54_468,13.796574,-4.5204015
E55_311,0.09147077,1.3483992
E56_263,-6.442899,1.666849
E57_370,16.50416,-5.1082287
E58_266,3.7847257,-2.674585
E59_16,-19.96015,14.43207
E60_161,-12.086687,2.7988884
E61_160,-1.4362612,3.0085695
E62_1,-22.82633,13.48112
E63_312,6.3286343,-2.7014115
E64_402,13.771374,-5.2402663
E65_221,-8.32976,1.9895759
E66_246,-5.8594565,-0.1794953
E67_421,14.366177,-6.372388
E68_116,-16.227142,6.949991
E69_144,-3.538388,4.9553814
E70_448,16.47083,-6.930584
E71_321,7.504226,-3.9337068
E72_187,-9.539216,0.9131311
E73_30,-16.754719,14.498943
E74_405,13.045617,-6.771819
E75_12,-20.73929,14.295638
E76_95,-14.744963,9.084565
E77_370,7.166564,-3.9792259
E78_470,14.386868,-11.129966
E79_51,-16.06692,14.268303
E80_277,4.1390076,-1.3601066
E81_256,-4.9399204,0.77852046
E82_331,-4.20664,0.30243102
E83_61,-14.466678,13.706728
E84_353,4.589485,0.4419746
E85_465,15.952364,-5.922125
E86_9,-21.50503,14.082115
E87_76,-16.273935,10.537794
E88_256,-8.237167,1.8960139
E89_432,17.439156,-4.9303584
E90_344,10.488819,-1.6198508
E91_285,-4.5771904,0.56889546
E92_97,-15.940995,4.64805
E93_211,-5.022413,-0.32078302
E94_357,8.65346,-4.050379
E95_319,4.770051,-2.1555936
E96_351,-0.3077299,1.1968478
E97_271,1.1108413,-0.9497349
E98_129,-12.3330555,10.294155
E99_477,14.647817,-9.433237
E100_420,12.462389,-8.022616
E101_446,16.16412,-7.1392384
E102_286,2.9375334,-2.5890021
E103_380,12.829014,-2.2651048
E104_168,-10.136679,0.296322
E105_36,-16.275003,14.91236
E106_209,-10.485703,2.5599544
E107_345,5.308776,-0.9502424
E108_271,6.2576675,-1.1480372
E109_405,14.261445,-6.067173
E110_238,-6.5281305,-1.7156323
E111_123,-16.101934,3.4407127
E112_447,14.455746,-9.29648
E113_183,-8.73129,0.29651967
E114_278,0.3856889,1.8836442
E115_27,-16.970821,16.005287
E116_132,-12.857101,2.2467632
E117_430,9.98592,-4.888262
E118_379,1.4969298,-1.8323873
E119_46,-16.3186,11.769134
E120_170,-1.3017917,1.3992985
E121_249,1.0337048,-0.20518045
E122_298,-4.348898,-0.017610626
E123_364,3.755422,-0.71151894
E124_23,-17.944374,13.921157
E125_218,-7.911928,0.95226425
E126_217,-1.367768,3.40151
E127_383,15.445516,-6.411443
E128_3,-22.668203,13.571146
E129_168,-11.730329,1.3338608
E130_292,5.080287,-1.3044249
E131_342,6.6189914,-4.7244267
E132_42,-16.138641,14.582792
E133_253,0.18999599,0.96940744
E134_59,-16.138067,12.610462
E135_425,14.539922,-5.746174
E136_54,-15.5809355,14.641005
E137_346,17.678373,-7.1933193
E138_95,-14.378033,9.683315
E139_88,-16.198965,7.3268676
E140_99,-15.3943205,4.899995
E141_389,16.329323,-6.300056
E142_151,-16.54851,2.2554219
E143_1,-22.841516,13.471793
E144_466,15.364828,-10.059983
E145_122,-15.544112,4.262977
E146_427,11.668587,-9.902096
E147_99,-16.368752,7.4144216
E148_117,-13.995007,7.8813944
E149_156,-17.420345,1.6874933
E150_131,-14.636004,2.6411345
E151_18,-19.071825,14.47181
E152_369,8.0139475,-4.5370464
E153_227,2.4137592,-0.91204953
E154_435,14.188734,-5.003661
E155_54,-15.337501,14.657749
E156_96,-16.244226,9.422696
E157_474,18.402681,-9.203641
E158_269,1.161207,-3.4460552
E159_146,-11.4139805,1.1521039
E160_291,-1.7204064,0.9811054
E161_356,15.284416,-11.628436
E162_79,-15.76035,6.2113085
E163_364,14.952375,-10.702486
E164_81,-13.1869,11.755523
E165_245,-4.919257,0.5616917
E166_227,3.409958,-2.4484346
E167_92,-15.219154,10.6588745
E168_19,-19.010473,14.608184
E169_421,15.268612,-4.8349714
E170_203,-14.41573,2.5852716
E171_205,3.6993537,-1.3404905
E172_50,-15.64531,14.958682
E173_244,-7.2662396,-1.4062344
E174_103,-12.455266,10.087038
E175_285,5.295958,-1.3517797
E176_137,-16.24311,4.673328
E177_484,12.636119,-6.4016137
E178_193,-8.802098,0.28274283
E179_225,-7.717677,-1.0472369
E180_381,8.173869,-4.994259
E181_29,-16.84588,13.75533
E182_401,14.049171,-6.3196287
E183_92,-15.427475,4.642324
E184_9,-21.458197,14.092256
E185_1,-22.823212,13.482902
E186_41,-16.533527,13.415744
E187_288,8.13601,-3.264426
E188_217,-6.738331,1.6870501
E189_298,11.1235695,-7.4457183
E190_226,-5.5871205,-0.3901395
E191_427,7.5813437,-3.3586974
E192_239,2.043981,-2.9318047
E193_438,11.419717,-8.57264
E194_497,16.422544,-9.529087
E195_429,15.59269,-7.0774617
E196_429,13.535352,-11.476963
E197_448,11.797186,-5.915957
E198_169,-11.371281,2.9141428
E199_99,-13.730984,12.01747
E200_244,-1.1230669,1.2444589
E201_275,4.6073766,-2.2574353
E202_245,-5.624858,-0.117728464
E203_314,5.005111,-0.34512824
E204_37,-16.181347,14.746728
E205_413,12.335155,-11.412568
E206_54,-15.652549,13.448658
E207_348,1.4830918,0.6984193
E208_230,-8.510728,-0.401706
E209_148,-3.5757964,1.1642711
E210_499,13.522881,-9.452093
E211_294,6.602485,-4.158099
E212_441,7.319627,-4.013517
E213_456,15.94954,-9.539433
E214_322,9.920733,-3.5972178
E215_375,13.715713,-8.072599
E216_197,-10.071374,2.1492965
E217_299,6.454798,-3.5912473
E218_397,13.6516075,-5.3148804
E219_332,6.0166593,-1.4197503
E220_34,-16.733675,14.861655
E221_199,-8.751846,0.2713035
E222_420,15.708376,-4.831069
E223_267,-3.8413658,0.34810925
E224_434,14.700097,-7.1619525
E225_437,16.247416,-7.891011
E226_107,-12.25422,10.319805
E227_405,0.66076344,0.75687104
E228_228,4.581877,-0.18732285
E229_74,-16.518284,11.86759
E230_369,14.161947,-7.9292364
E231_470,13.60111,-4.6522145
E232_334,7.8503323,-4.9322944
E233_25,-17.49577,14.046057
E234_202,-3.730189,3.924294
E235_291,5.085379,-2.9624364
E236_96,-17.56201,4.3115163
E237_37,-16.343039,14.166761
E238_459,14.702252,-9.022679
E239_436,16.63255,-4.3568506
E240_12,-20.72362,14.2962265
E241_97,-12.697133,10.754728
E242_368,6.8306665,-4.094545
E243_437,16.2354,-8.216137
E244_276,-2.1026394,-0.10763948
E245_484,11.984684,-10.875556
E246_33,-16.438261,14.551109
E247_155,-12.32506,10.118653
E248_301,15.554826,-5.963522
E249_416,16.246626,-7.434778
E250_286,-4.2617993,0.010068945
E251_307,-4.2870874,-0.06731966
E252_17,-19.3111,14.497139
E253_39,-16.04077,14.167942
E254_211,-8.318701,0.32040375
E255_459,17.391651,-4.9248376
E256_119,-14.832664,4.9316425
E257_445,13.133745,-7.9028153
