Name,Coefficient,Coefficient_std_error,Coefficient_P_value,Phenotype
Rgl_CB_3,1.3042177569523892e-06,4.177226418593334e-07,0.0008974946382974,100011
Neur_HB_Glut,1.0293408798938768e-06,3.78437949069597e-07,0.0032643655749779,100011
Neur_Gly_4,9.140326349897644e-07,3.646466241803805e-07,0.0060944838051128,100011
Neur_GABA_3,1.074064826160829e-06,4.374066683975382e-07,0.007033867080447,100011
Neur_Gly_5,1.2984983390953117e-06,5.327578930377611e-07,0.0073984095672597,100011
Neur_Purk_5,4.363867970389372e-07,1.9440313526589202e-07,0.0123920337853765,100011
Neur_DA,6.352557958951389e-07,3.2664634365783384e-07,0.0259006353328824,100011
Gbl_late,3.0809291580724795e-06,1.630480797768934e-06,0.0294068614674349,100011
Neur_Gly_3,5.090230252358433e-07,2.78649234096622e-07,0.033868538465921,100011
Neur_Tel_Glut_NBL_1,4.635984035704774e-07,2.5729945706487425e-07,0.0357895883201461,100011
Neur_MB_Glut_NBL_2,4.606041890849493e-07,2.5563927497826285e-07,0.0357904880465105,100011
Neur_Purk_1,3.015607990678559e-07,1.7452360712173098e-07,0.0420023279957073,100011
Neur_Purk_6,2.710880898753428e-07,1.581865744294019e-07,0.0432897362624925,100011
Neur_Purk_NBL_1,3.838822775764652e-07,2.269057600323057e-07,0.0453407485626561,100011
Neur_Purk_3,2.5732943507675866e-07,1.6464248841584577e-07,0.059031136500777,100011
Neur_HB_Glut_2,7.01197116642615e-07,4.512507825845536e-07,0.0601045256222447,100011
Neur_GABA_2,1.4910154988271894e-06,9.934861607129596e-07,0.0667047602012421,100011
Gbl_CB_VZ,2.785415507833004e-07,1.856989474455564e-07,0.066811993220857,100011
Neur_Gly_6,7.342239248713142e-07,5.08947338957362e-07,0.0745620245889758,100011
Neur_Gly_2,5.021881357284447e-07,3.571606639537692e-07,0.07985364799706,100011
Neur_Glut_1,8.818548624995991e-07,6.544682548738725e-07,0.0889197357775243,100011
Neur_MB_Glut,3.4140787502166785e-07,2.657407551851228e-07,0.0994415137591567,100011
Neur_Purk_2,2.128854150894718e-07,1.6602317086029654e-07,0.0998751528200054,100011
OPC_1,8.288751235943815e-07,6.480703529041037e-07,0.1004503911283245,100011
Neur_Int_MGE,3.774695329809405e-07,3.001393077332579e-07,0.1042595833886876,100011
Neur_HB_GABA_1,3.8684998643547033e-07,3.357522200813038e-07,0.1246217257268331,100011
Neur_Gly_1,1.9141476015012976e-06,1.7126571351112205e-06,0.1318587073247932,100011
Neur_CB_IPC_1,3.421310743239216e-07,3.7172354413271846e-07,0.1786841859896131,100011
Neur_Purk_NBL_2,1.6078987105206397e-07,1.7933740705081073e-07,0.1849722237043015,100011
OPC_2,3.17284088906496e-07,3.556702579180663e-07,0.1861767108110795,100011
Gbl_HB_3,2.272944649857281e-07,2.878793169046974e-07,0.2148959684385651,100011
OPC_3,2.769282496689275e-07,3.802867891639037e-07,0.2332428389704682,100011
Neur_HB_NBL,3.136910672214854e-07,4.837606367800045e-07,0.2583493209139255,100011
Rgl_MB_2,1.4697551514963622e-07,2.3034590958723307e-07,0.2617158930377432,100011
COP,1.2641873169735978e-07,1.9962852382219226e-07,0.263278708864877,100011
Neur_late,3.4431743071705505e-07,5.705142628643095e-07,0.2730810210271873,100011
Neur_MB_Glut_NBL_1,1.1397854082716593e-07,1.9725645133512377e-07,0.2816931367838667,100011
PreOPC,1.738303943564876e-07,3.043425007316768e-07,0.2839432212785813,100011
Neur_Gly_8,3.246600363973717e-07,5.927504211152575e-07,0.2919427977608155,100011
Neur_DRG_2,3.026120145225426e-07,5.705899502426421e-07,0.2979348650238101,100011
Neur_MB_GABA_2,1.131138658103928e-07,2.151064784337232e-07,0.2994960151597078,100011
OPC_5,1.561285354511707e-07,3.076931494909684e-07,0.3059313573236628,100011
Floor_plate,8.27401541601576e-08,1.7219959333198474e-07,0.3154395647746135,100011
Neur_CB_NBL_1,8.10413659891268e-08,1.865439979319854e-07,0.3319860513959974,100011
Neur_Tel_Glut_SATB2_2,7.843368671455604e-08,1.812482220190292e-07,0.3326011697537845,100011
VLMC_SLC6A13_3,4.111234953851266e-07,9.7113955080693e-07,0.3360231270981143,100011
Neur_CB_GABA_1,2.950149239224256e-07,7.050577364440854e-07,0.3378176143738107,100011
Neur_Purk_4,5.7666901235525843e-08,1.4319738476447121e-07,0.3435810903243865,100011
Neur_Int_LGE_CGE,1.027256022762021e-07,2.6206544769182604e-07,0.3475348208187034,100011
PreOPC_3,1.8472073770651818e-07,5.753524560386943e-07,0.3740837267597904,100011
Gbl_HB_4,1.817208545393207e-07,5.855302829060112e-07,0.3781464119417596,100011
Rgl_Tel_2,2.0990164492132938e-07,7.010619479326852e-07,0.3823154191148491,100011
VZ_prog,6.20760373714495e-08,2.450768411688188e-07,0.4000212350486528,100011
Rgl_Tel_dorsal,5.7046809317734066e-08,2.448319046220552e-07,0.407879155854678,100011
Neur_HB_Glut_NBL_1,3.0311576630786294e-08,1.5697477922263266e-07,0.4234409580278306,100011
Neur_Tel_Glut_PCNA,6.795690757075748e-08,4.009827605982619e-07,0.4327111701198238,100011
Neur_Tel_Glut_NBL_2,3.0852060840114696e-08,2.0134271801736085e-07,0.4391078310954234,100011
Gbl_MB,1.6554878529684858e-07,1.2147701918522303e-06,0.4457999984094726,100011
Neur_MB_GABA_TAL2,1.3711354769416461e-08,2.0133238377918453e-07,0.4728517906069814,100011
PreOPC_2,2.0446507776080878e-08,3.777176182600505e-07,0.4784151065788047,100011
OPC_4,1.297242262028698e-09,2.3598479904000194e-07,0.4978069681526683,100011
Neur_Tel_Glut_SATB2_1,-2.775433927905732e-09,2.0557655748267066e-07,0.5053858490422349,100011
OPC_6,-6.384206442281628e-09,2.304129540714349e-07,0.5110523474617746,100011
Neur_MB_GABA_TFAP2B,-8.999135226171019e-09,2.192628096016205e-07,0.5163690680512504,100011
Rgl_CB_2,-2.0079555100142537e-08,1.834330632763747e-07,0.5435832781005957,100011
Rgl_Tel_ventral,-3.357144084622868e-08,3.0056015796242057e-07,0.544467871365252,100011
Rgl_CB_VZ,-4.413648373853701e-08,3.435321270731192e-07,0.5511148341781337,100011
Neur_GABA_IPC,-1.9260442238934178e-07,1.4365373894425772e-06,0.55332855080332,100011
Neur_MB_GABA_IPC,-6.875385190125123e-08,4.992638004902068e-07,0.5547653772412822,100011
Gbl_CB_1,-3.773170377066469e-08,2.702684948579251e-07,0.5555152276056148,100011
Neur_HB_Glut_NBL_4,-3.348956274445074e-08,1.3009979395704685e-07,0.6015705630745368,100011
Neur_Purk_prog,-4.5799055212339096e-08,1.7717823699182024e-07,0.6019861675647014,100011
Rgl_MB_1,-7.398179073831096e-08,2.721011016955736e-07,0.6071470136850077,100011
Neur_SER,-9.493374128767425e-08,3.356202086968857e-07,0.6113581596430171,100011
VLMC_MGP_2,-1.0771696952426976e-07,2.650195606554269e-07,0.6577936859888844,100011
Neur_Gly_7,-3.2250663471067013e-07,7.838069913158882e-07,0.659633026463224,100011
Roof_plate,-7.379821931274477e-08,1.7336433884180188e-07,0.6648305060383055,100011
Neur_HB_IPC_1,-8.66502748120369e-08,1.8968777417348886e-07,0.676094301594329,100011
Neur_MB_GABA_1,-9.4128377252748e-08,1.8858132902928456e-07,0.6911594195826669,100011
Rgl_Tel_1,-2.4152121169452414e-07,4.756614191390434e-07,0.6941887027458462,100011
Gbl_HB_5,-9.38408490979154e-08,1.7553997679219258e-07,0.7035311977453892,100011
PreOPC_4,-7.053808349847271e-07,1.2317628449901937e-06,0.716562406245868,100011
Mic_5,-7.745032136500915e-08,1.2845185201709186e-07,0.7267297417547367,100011
Neur_HB_Glut_NBL_3,-1.005422687887813e-07,1.5322699050947345e-07,0.7441411861978098,100011
End_early_2,-5.202429603483211e-07,7.854318381754167e-07,0.7461314990881818,100011
