Name,Coefficient,Coefficient_std_error,Coefficient_P_value,Phenotype
PreOPC_2,4.492492128907922e-07,1.4889385358069056e-07,0.0012754184061786,20001_1061
T_Cell_immature,4.228822467323663e-07,1.7907142609734287e-07,0.0090998905206744,20001_1061
VLMC_MGP_2,2.730985176743891e-07,1.212913055996229e-07,0.0121740376303709,20001_1061
OPC_4,1.752148230506919e-07,8.122827207821855e-08,0.0155002232182526,20001_1061
VLMC_MGP_1,3.101949896450749e-07,1.4903430453016925e-07,0.0187001921498751,20001_1061
Neur_Int_LGE_CGE,2.3275387745197265e-07,1.216214713471874e-07,0.0278256400681105,20001_1061
OPC_5,1.97171312915221e-07,1.0580074465958501e-07,0.0311882546871443,20001_1061
Mic_4,1.1523847836925664e-07,6.626305100793671e-08,0.0410080480795204,20001_1061
OPC_6,1.4877649381704824e-07,8.855657429176205e-08,0.0464770661045308,20001_1061
OPC_2,2.4990478233180204e-07,1.6105034381110666e-07,0.0603648086512084,20001_1061
Mic_6,1.071911192545062e-07,7.001258860038061e-08,0.0628814379774826,20001_1061
Immune_uncertain,1.238663903688341e-07,8.547485781603657e-08,0.0736470317479036,20001_1061
Neur_HB_GABA_1,1.46656409325272e-07,1.0899795625439125e-07,0.0892324151877854,20001_1061
OPC_1,3.377388539387968e-07,2.550285317922202e-07,0.0926987412869086,20001_1061
Mic_dividing,7.775786396319357e-08,5.885486580864183e-08,0.0932206983158427,20001_1061
PVM,1.0519683865066124e-07,8.02906356277677e-08,0.0950639920938595,20001_1061
Mic_5,8.253783172633328e-08,6.31599153667206e-08,0.0956391007773176,20001_1061
Roof_plate,8.508323600939017e-08,6.528691262393182e-08,0.096249764711558,20001_1061
Neur_CB_GNP_IPC_2,9.431688371089449e-08,7.378195879440734e-08,0.100568476212335,20001_1061
Mic_3,7.190251483317038e-08,5.6968275495654825e-08,0.103447389535538,20001_1061
Mic_1,7.542733312407207e-08,6.068282921321393e-08,0.1069382392008655,20001_1061
