phenotype	domain	chapter	subchapter	name	description	source	notes	n_non_missing_female	n_missing_female	n_non_missing_male	n_missing_male	Category	Keep_category
2217_raw	Activiti+B2:B283es	Self-Care	Looking After One's Health	NA	Age started wearing glasses or contact lenses	phesant	"ACE touchscreen question ""What age did you first start to wear glasses or contact lenses?"" The following checks were performed: If answer If answer > Participants age then rejected If answer If the participant activated the Help button they were shown the message: If you are unsure, please provide an estimate or select Do not know. ~F2217~ was collected from participants who indicated they wear glasses or contact lenses to correct their vision, as defined by their answers to ~F2207~"	169027	25147	141965	25055	Self-care	
699_raw	Activities	Domestic Life	Unspecified	NA	Length of time at current address	phesant	"ACE touchscreen question ""How many years have you lived at your current address?"" The following checks were performed: If answer If answer > Participants age then rejected If the participant activated the Help button they were shown the message: If you have lived there for less than one year select Less than a year. If you are unsure, please provide an estimate or select Do not know. If you have lived at your current address at different times, add up the total number of years you lived there. For instance if you lived at your current address for 3 years, moved overseas for one year and returned to your current address for another 5 years, then you would enter 8 years."	189732	4442	162958	4062	Self-care	
874_raw	Activities	Self-Care	Looking After One's Health	Duration of walks	Duration of walks	phesant	"ACE touchscreen question ""How many minutes did you usually spend walking on a typical DAY?"" The following checks were performed: If answer If answer > 1440 then rejected If answer If answer > 300 then participant asked to confirm If the participant activated the Help button they were shown the message: Count the number of minutes that you usually spend walking in one day. If the time you usually spend walking on each day of the week varies a lot, give an average of the time you spend walking. For instance if on one day of the week you usually walk for 4 hours but on the other day you walk 2 hours then give the average - that is 3 hours. ~F874~ was collected from participants who indicated that they walked for 10 minutes on at least 1 day per week in the previous 4 weeks, as defined by their answers to ~F864~"	162370	31804	146619	20401	Self-care	
914_raw	Activities	Self-Care	Looking After One's Health	Duration of vigorous activity	Duration of vigorous activity	phesant	"ACE touchscreen question ""How many minutes did you usually spend doing vigorous activities on a typical DAY?"" The following checks were performed: If answer If answer > 1440 then rejected If answer If answer > 300 then participant asked to confirm If the participant activated the Help button they were shown the message: If the time you usually spend doing vigorous physical activity on each day of the week varies a lot, give an average of the time you spend doing vigorous physical activity. This information was collected from participants who indicated that they did vigorous physical activities for 10 minutes on at least 1 day per week in the previous 4 weeks, as defined by their answers to ~F904~"	98826	95348	97932	69088	Self-care	
102_raw	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Blood Pressure Functions	Pulse rate (automated reading)	Pulse rate, automated reading	phesant	This is the pulse rate measured during the automated blood pressure readings.	182647	11527	157515	9505	Blood Pressure	Blood pressure
12336_raw	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Heart Functions	Ventricular rate	Ventricular rate	phesant	Ventricular rate during ECG measurement.	5542	188632	5275	161745	Heart Functions	
12338_raw	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Heart Functions	ECG, P duration	P duration	phesant	P duration during ECG	5535	188639	5250	161770	Heart Functions	
12340_raw	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Heart Functions	ECG, QRS duration	QRS duration	phesant	QRS duration during ECG measurement	5542	188632	5273	161747	Heart Functions	
21021_raw	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Blood Pressure Functions	NA	Pulse wave Arterial Stiffness index	phesant	The time between peaks of the waveform (the peak-to-peak time) is divided into the persons height to obtain the Stiffness Index. This value was calculated outside the Assessment Centre visit as the participant height was not known until after the stiffness device had been used.	63145	131029	55324	111696	Blood pressure	
2966_raw	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Blood Pressure Functions	NA	Age high blood pressure diagnosed	phesant	"ACE touchscreen question ""What was your age when the high blood pressure was first diagnosed?"" The following checks were performed: If answer If answer > Participants age then rejected If answer If answer > 69 then participant asked to confirm If the participant activated the Help button they were shown the message: If you are unsure, please provide an estimate or select Do not know. ~F2966~ was collected from participants who indicated they were told by a doctor that they have had high blood pressure, as defined by their answers to ~F6150~"	39798	154376	47226	119794	Blood pressure	
4079_raw	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Blood Pressure Functions	Diastolic blood pressure (automated reading)	Diastolic blood pressure, automated reading	phesant	Blood pressure, automated reading, diastolic. Two measures of blood pressure were taken a few moments apart. Range returned by the Omron device is is 0-255	182647	11527	157515	9505	Blood pressure	Blood pressure
4080_raw	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Blood Pressure Functions	Systolic blood pressure (automated reading)	Systolic blood pressure, automated reading	phesant	Blood pressure, automated reading, systolic. Two measures of blood pressure were taken a few moments apart. Range returned by the Omron device is is 0-255	182645	11529	157514	9506	Blood pressure	Blood pressure
4194_raw	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Blood Pressure Functions	Pulse rate (during arterial stiffness measurement)	Pulse rate	phesant	Pulse rate during arterial stiffness measurement	63335	130839	55515	111505	Blood pressure	
4195_raw	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Blood Pressure Functions	Pulse wave reflection index	Pulse wave reflection index	phesant	reflection index is a measure of reflection A digital volume pulse can be considered to be the summation of a direct and a reflected component. The direct component is due to transmission of a pressure wave from the left ventricle to the finger via the most direct route. The reflected component is formed by pressure transmitted from the heart to the lower body where it is reflected back up the aorta and thence to the finger. if 'b' is the height of direct wave peak and 'a' is the height of reflected wave peak the reflected index = (a/b) * 100%	63335	130839	55515	111505	Blood pressure	
4196_raw	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Blood Pressure Functions	Pulse wave peak to peak time	Pulse wave peak to peak time	phesant	peak to peak time in milliseconds A digital volume pulse can be considered to be the summation of a direct and a reflected component. The direct component is due to transmission of a pressure wave from the left ventricle to the finger via the most direct route. The reflected component is formed by pressure transmitted from the heart to the lower body where it is reflected back up the aorta and thence to the finger. peak to peak time is the difference between the peak values of direct and reflected components.	63313	130861	55474	111546	Blood pressure	
5983_raw	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Heart Functions	ECG, heart rate	ECG, heart rate	phesant	ECG, heart rate The Bike Test consists of many phases. A phase is generally divided into number of stages. At various points during the test, called trends, readings about heart rate, workload etc are recorded. This field contains heart rate (beats per minute) at the time of the trend entry	28712	165462	25065	141955	Heart Functions	
5984_raw	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Heart Functions	ECG, load	ECG, load	phesant	ECG, load The Bike Test consists of many phases. A phase is generally divided into number of stages. At various points during the test, called trends, readings about heart rate, workload etc are recorded. This field contains load in Watts at the time of the trend entry.	28748	165426	25095	141925	Heart Functions	
5986_raw	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Heart Functions	ECG, phase time	ECG, phase time	phesant	ECG, phase time The Bike Test consists of many phases. A phase is generally divided into number of stages. At various points during the test, called trends, readings about heart rate, workload etc are recorded. This field contains the time spent within the phase of the trend entry.	28833	165341	25165	141855	Heart Functions	
93_raw	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Blood Pressure Functions	Systolic blood pressure (manual reading)	Systolic blood pressure, manual reading	phesant	Blood pressure, manual reading, systolic. Two measures of blood pressure were taken a few moments apart. A manual sphygmometer was used if the standard automated device could not be employed.	17102	177072	14179	152841	Blood pressure	
94_raw	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Blood Pressure Functions	Diastolic blood pressure (manual reading)	Diastolic blood pressure, manual reading	phesant	Blood pressure, manual reading, diastolic. Two measures of blood pressure were taken a few moments apart. A manual sphygmometer was used if the standard automated device could not be employed.	17102	177072	14179	152841	Blood pressure	
20016_raw	Cognitive	Mental Functions	Higher-Level Cognitive Functions	Fluid intelligence score	Fluid intelligence score	phesant	This is a simple unweighted sum of the number of correct answers given to the 13 fluid intelligence questions. Participants who did not answer all of the questions within the allotted 2 minute limit are scored as zero for each of the unattempted questions.	62810	131364	54321	112699	Cognitive	Cognitive
20023_raw	Cognitive	Mental Functions	Higher-Level Cognitive Functions	NA	Mean time to correctly identify matches	phesant	"This field is the mean duration to first press of snap-button summed over rounds in which both cards matched. It gives a crude measure of the raw processing+reaction speed of a participant. The following data points were excluded when forming the average: Rounds 0-4 were regarded as ""training""; Times under 50ms must be due to anticipation rather than reaction; Times over 2000ms were ignored as the cards had disappeared by then. Values were rounded to the nearest whole number."	192893	1281	165802	1218	Cognitive	Cognitive
399_raw	Cognitive	Mental Functions	Higher-Level Cognitive Functions	NA	Number of incorrect matches in round	phesant	A value of 0 indicates the participant made no mistakes.	193902	272	166784	236	Cognitive	Cognitive
400_raw	Cognitive	Mental Functions	Higher-Level Cognitive Functions	NA	Time to complete round	phesant		190979	3195	163760	3260	Cognitive	Cognitive
404_raw	Cognitive	Mental Functions	Higher-Level Cognitive Functions	NA	Duration to first press of snap-button in each round	phesant	This gives the interval between the cards being displayed and the participant pressing the snap-button to indicate a match. Note that the time is recorded regardless of whether the cards shown formed a matching pair. ~F401~ and ~F402~ need to be compared to determine if the cards were the same. Each pair was displayed for 2 seconds, followed by a 1 second gap. If the button-press occurred during a gap then it was recorded against the previous pair, giving a value in the range 2001-2999ms.	192783	1391	165717	1303	Cognitive	Cognitive
4288_raw	Cognitive	Mental Functions	Memory Functions	NA	Time to answer	phesant	Time between completing initial prompt and displaying answer	64129	130045	55600	111420	Memory	Cognitive
4290_raw	Cognitive	Mental Functions	Memory Functions	NA	Duration screen displayed	phesant	Time for which screen was visible.	64129	130045	55600	111420	Memory	Cognitive
20019_raw	Ear, Nose, Throat	Sensory Functions and Pain	Hearing Functions	NA	Speech-reception-threshold (SRT) estimate (left)	phesant	SRT is the Speech Reception Threshold, defined here as the signal-to-noise ratio at which half of the presented speech can be understood correctly. This was estimated as the value of the last round of the signal-to-noise ratio measurement for participants who completed all 15 rounds of the test (left-ear).	61560	132614	53251	113769	Hearing	
20021_raw	Ear, Nose, Throat	Sensory Functions and Pain	Hearing Functions	NA	Speech-reception-threshold (SRT) estimate (right)	phesant	SRT is the Speech Reception Threshold, defined here as the signal-to-noise ratio at which half of the presented speech can be understood correctly. This was estimated as the value of the last round of the signal-to-noise ratio measurement for participants who completed all 15 rounds of the test (right-ear).	61494	132680	53226	113794	Hearing	
4230_raw	Ear, Nose, Throat	Sensory Functions and Pain	Hearing Functions	NA	Signal-to-noise-ratio (SNR) of triplet (left)	phesant	This is the signal-to-noise ratio for each round (left ear)	62607	131567	54183	112837	Hearing	
4233_raw	Ear, Nose, Throat	Sensory Functions and Pain	Hearing Functions	NA	Mean signal-to-noise ratio (SNR), (left)	phesant	This is the mean signal-to-noise ratio for rounds 8 onwards (left ear). The triplets played in rounds 1-5 represent the 'hunting phase' where the SNR change is 2 levels (equivalent to 4 dB) harder following a correct response and 2 levels easier following a wrong response, as opposed to a change of 1 level (2 dB) in rounds 8 to 15. Value is stored as -99999 for rounds 1-7.	62547	131627	54124	112896	Hearing	
4241_raw	Ear, Nose, Throat	Sensory Functions and Pain	Hearing Functions	NA	Signal-to-noise-ratio (SNR) of triplet (right)	phesant	This is the signal-to-noise ratio for each round (right ear)	62560	131614	54195	112825	Hearing	
4244_raw	Ear, Nose, Throat	Sensory Functions and Pain	Hearing Functions	NA	Mean signal-to-noise ratio (SNR), (right)	phesant	This is the mean signal-to-noise ratio for rounds 8 onwards (right ear). The triplets played in rounds 1-5 represent the 'hunting phase' where the SNR change is 2 levels (equivalent to 4 dB) harder following a correct response and 2 levels easier following a wrong response, as opposed to a change of 1 level (2 dB) in rounds 8 to 15. Value is stored as -99999 for rounds 1-7.	62490	131684	54146	112874	Hearing	
