,pattern,num_seqlets,modisco_cwm_fwd,modisco_cwm_rev,match0,motif_name0,qval0,match0_logo,match1,motif_name1,qval1,match1_logo,match2,motif_name2,qval2,match2_logo
0,metacluster_0.pattern_0,5932,trimmed_logos/metacluster_0.pattern_0.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_0.cwm.rev.png,MA0160.2,NR4A2,0.104913,motif_logo/MA0160.2.png,MA1112.2,NR4A1,0.104913,motif_logo/MA1112.2.png,MA0871.2,TFEC,0.104913,motif_logo/MA0871.2.png
1,metacluster_0.pattern_1,2115,trimmed_logos/metacluster_0.pattern_1.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_1.cwm.rev.png,MA1642.1,NEUROG2,9.65247e-07,motif_logo/MA1642.1.png,MA1467.2,Atoh1,1.03126e-06,motif_logo/MA1467.2.png,MA1109.1,NEUROD1,2.92576e-06,motif_logo/MA1109.1.png
2,metacluster_0.pattern_2,649,trimmed_logos/metacluster_0.pattern_2.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_2.cwm.rev.png,MA0795.1,SMAD3,0.668714,motif_logo/MA0795.1.png,MA1557.1,SMAD5,0.668714,motif_logo/MA1557.1.png,MA1553.1,RARG,0.668714,motif_logo/MA1553.1.png
3,metacluster_0.pattern_3,618,trimmed_logos/metacluster_0.pattern_3.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_3.cwm.rev.png,MA0154.4,EBF1,0.132886,motif_logo/MA0154.4.png,MA1604.1,Ebf2,0.486655,motif_logo/MA1604.1.png,MA1637.1,EBF3,0.79394,motif_logo/MA1637.1.png
4,metacluster_0.pattern_4,591,trimmed_logos/metacluster_0.pattern_4.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_4.cwm.rev.png,MA0154.4,EBF1,0.216195,motif_logo/MA0154.4.png,MA1637.1,EBF3,0.216195,motif_logo/MA1637.1.png,MA1117.1,RELB,0.372404,motif_logo/MA1117.1.png
5,metacluster_0.pattern_5,590,trimmed_logos/metacluster_0.pattern_5.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_5.cwm.rev.png,MA1534.1,NR1I3,0.00410273,motif_logo/MA1534.1.png,MA0693.3,Vdr,0.807102,motif_logo/MA0693.3.png,MA0859.1,Rarg,0.807102,motif_logo/MA0859.1.png
6,metacluster_0.pattern_6,508,trimmed_logos/metacluster_0.pattern_6.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_6.cwm.rev.png,MA1637.1,EBF3,0.416845,motif_logo/MA1637.1.png,MA1604.1,Ebf2,0.416845,motif_logo/MA1604.1.png,MA1573.2,Thap11,0.416845,motif_logo/MA1573.2.png
7,metacluster_0.pattern_7,488,trimmed_logos/metacluster_0.pattern_7.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_7.cwm.rev.png,MA0154.4,EBF1,0.00743893,motif_logo/MA0154.4.png,MA1615.1,Plagl1,0.0454774,motif_logo/MA1615.1.png,MA1637.1,EBF3,0.0454774,motif_logo/MA1637.1.png
8,metacluster_0.pattern_8,488,trimmed_logos/metacluster_0.pattern_8.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_8.cwm.rev.png,MA0676.1,Nr2e1,1.0,motif_logo/MA0676.1.png,MA1933.1,ELK1::SREBF2,1.0,motif_logo/MA1933.1.png,MA1536.1,NR2C2,1.0,motif_logo/MA1536.1.png
9,metacluster_0.pattern_9,347,trimmed_logos/metacluster_0.pattern_9.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_9.cwm.rev.png,MA0818.2,BHLHE22,0.000390534,motif_logo/MA0818.2.png,MA0607.2,BHLHA15,0.000390534,motif_logo/MA0607.2.png,MA0678.1,OLIG2,0.00046287,motif_logo/MA0678.1.png
10,metacluster_0.pattern_10,280,trimmed_logos/metacluster_0.pattern_10.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_10.cwm.rev.png,MA1604.1,Ebf2,0.0188463,motif_logo/MA1604.1.png,MA0730.1,RARA,0.0188463,motif_logo/MA0730.1.png,MA1637.1,EBF3,0.0338462,motif_logo/MA1637.1.png
11,metacluster_0.pattern_11,204,trimmed_logos/metacluster_0.pattern_11.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_11.cwm.rev.png,MA0643.1,Esrrg,0.331883,motif_logo/MA0643.1.png,MA0071.1,RORA,0.331883,motif_logo/MA0071.1.png,MA1553.1,RARG,0.331883,motif_logo/MA1553.1.png
12,metacluster_0.pattern_12,176,trimmed_logos/metacluster_0.pattern_12.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_12.cwm.rev.png,MA0761.2,ETV1,0.159008,motif_logo/MA0761.2.png,MA1992.1,Ikzf3,0.159008,motif_logo/MA1992.1.png,MA0062.3,GABPA,0.159008,motif_logo/MA0062.3.png
13,metacluster_0.pattern_13,113,trimmed_logos/metacluster_0.pattern_13.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_13.cwm.rev.png,MA1540.2,NR5A1,0.12332,motif_logo/MA1540.2.png,MA0505.2,Nr5A2,0.735526,motif_logo/MA0505.2.png,MA1657.1,ZNF652,0.787764,motif_logo/MA1657.1.png
14,metacluster_0.pattern_14,96,trimmed_logos/metacluster_0.pattern_14.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_14.cwm.rev.png,MA0703.2,LMX1B,0.126007,motif_logo/MA0703.2.png,MA0601.1,Arid3b,0.129062,motif_logo/MA0601.1.png,MA0713.1,PHOX2A,0.129062,motif_logo/MA0713.1.png
15,metacluster_0.pattern_15,90,trimmed_logos/metacluster_0.pattern_15.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_15.cwm.rev.png,MA1637.1,EBF3,0.036114,motif_logo/MA1637.1.png,MA0154.4,EBF1,0.036114,motif_logo/MA0154.4.png,MA1604.1,Ebf2,0.0403701,motif_logo/MA1604.1.png
16,metacluster_0.pattern_16,77,trimmed_logos/metacluster_0.pattern_16.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_16.cwm.rev.png,MA1969.1,THRA,0.0816905,motif_logo/MA1969.1.png,MA0512.2,Rxra,0.0816905,motif_logo/MA0512.2.png,MA0856.1,RXRG,0.0816905,motif_logo/MA0856.1.png
17,metacluster_0.pattern_17,77,trimmed_logos/metacluster_0.pattern_17.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_17.cwm.rev.png,MA0743.2,SCRT1,0.298702,motif_logo/MA0743.2.png,MA0744.2,SCRT2,0.298702,motif_logo/MA0744.2.png,MA0870.1,Sox1,1.0,motif_logo/MA0870.1.png
18,metacluster_0.pattern_18,54,trimmed_logos/metacluster_0.pattern_18.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_18.cwm.rev.png,MA1547.2,PITX2,0.000531321,motif_logo/MA1547.2.png,MA0714.1,PITX3,0.00754575,motif_logo/MA0714.1.png,MA0682.2,PITX1,0.00754575,motif_logo/MA0682.2.png
19,metacluster_0.pattern_19,50,trimmed_logos/metacluster_0.pattern_19.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_19.cwm.rev.png,MA1637.1,EBF3,0.150156,motif_logo/MA1637.1.png,MA0154.4,EBF1,0.150156,motif_logo/MA0154.4.png,MA1604.1,Ebf2,0.150156,motif_logo/MA1604.1.png
20,metacluster_0.pattern_20,45,trimmed_logos/metacluster_0.pattern_20.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_20.cwm.rev.png,MA1953.1,FOXO1::ELF1,0.335884,motif_logo/MA1953.1.png,MA0152.2,Nfatc2,0.335884,motif_logo/MA0152.2.png,MA1952.1,FOXJ2::ELF1,0.335884,motif_logo/MA1952.1.png
21,metacluster_0.pattern_21,42,trimmed_logos/metacluster_0.pattern_21.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_21.cwm.rev.png,MA0071.1,RORA,0.0305659,motif_logo/MA0071.1.png,MA0643.1,Esrrg,0.0477177,motif_logo/MA0643.1.png,MA0592.3,ESRRA,0.0477177,motif_logo/MA0592.3.png
22,metacluster_1.pattern_0,5707,trimmed_logos/metacluster_1.pattern_0.cwm.fwd.png,trimmed_logos/metacluster_1.pattern_0.cwm.rev.png,MA0125.1,Nobox,0.143823,motif_logo/MA0125.1.png,MA0630.1,SHOX,0.143823,motif_logo/MA0630.1.png,MA0682.2,PITX1,0.143823,motif_logo/MA0682.2.png
23,metacluster_1.pattern_1,1711,trimmed_logos/metacluster_1.pattern_1.cwm.fwd.png,trimmed_logos/metacluster_1.pattern_1.cwm.rev.png,MA1113.2,PBX2,0.333299,motif_logo/MA1113.2.png,MA1640.1,MEIS2,0.333299,motif_logo/MA1640.1.png,MA0660.1,MEF2B,0.53162,motif_logo/MA0660.1.png
24,metacluster_1.pattern_2,1381,trimmed_logos/metacluster_1.pattern_2.cwm.fwd.png,trimmed_logos/metacluster_1.pattern_2.cwm.rev.png,MA1527.1,NFIC,0.0732763,motif_logo/MA1527.1.png,MA1528.1,NFIX,0.0732763,motif_logo/MA1528.1.png,MA1643.1,NFIB,0.157649,motif_logo/MA1643.1.png
25,metacluster_1.pattern_3,265,trimmed_logos/metacluster_1.pattern_3.cwm.fwd.png,trimmed_logos/metacluster_1.pattern_3.cwm.rev.png,MA0804.1,TBX19,1.0,motif_logo/MA0804.1.png,MA1633.2,BACH1,1.0,motif_logo/MA1633.2.png,MA0655.1,JDP2,1.0,motif_logo/MA0655.1.png
26,metacluster_1.pattern_4,230,trimmed_logos/metacluster_1.pattern_4.cwm.fwd.png,trimmed_logos/metacluster_1.pattern_4.cwm.rev.png,MA1635.1,BHLHE22,0.019084,motif_logo/MA1635.1.png,MA0633.2,Twist2,0.122347,motif_logo/MA0633.2.png,MA0048.2,NHLH1,0.182153,motif_logo/MA0048.2.png
27,metacluster_1.pattern_5,116,trimmed_logos/metacluster_1.pattern_5.cwm.fwd.png,trimmed_logos/metacluster_1.pattern_5.cwm.rev.png,MA1113.2,PBX2,0.214813,motif_logo/MA1113.2.png,MA0704.1,Lhx4,0.214813,motif_logo/MA0704.1.png,MA0703.2,LMX1B,0.214813,motif_logo/MA0703.2.png
28,metacluster_1.pattern_6,114,trimmed_logos/metacluster_1.pattern_6.cwm.fwd.png,trimmed_logos/metacluster_1.pattern_6.cwm.rev.png,MA0793.1,POU6F2,0.166218,motif_logo/MA0793.1.png,MA1549.1,POU6F1,0.166218,motif_logo/MA1549.1.png,MA0726.1,VSX2,0.166218,motif_logo/MA0726.1.png
29,metacluster_1.pattern_7,104,trimmed_logos/metacluster_1.pattern_7.cwm.fwd.png,trimmed_logos/metacluster_1.pattern_7.cwm.rev.png,MA0683.1,POU4F2,0.101914,motif_logo/MA0683.1.png,MA0791.1,POU4F3,0.101914,motif_logo/MA0791.1.png,MA0790.1,POU4F1,0.123393,motif_logo/MA0790.1.png
30,metacluster_1.pattern_8,101,trimmed_logos/metacluster_1.pattern_8.cwm.fwd.png,trimmed_logos/metacluster_1.pattern_8.cwm.rev.png,MA1637.1,EBF3,0.0327316,motif_logo/MA1637.1.png,MA1604.1,Ebf2,0.0353764,motif_logo/MA1604.1.png,MA0154.4,EBF1,0.0602861,motif_logo/MA0154.4.png
31,metacluster_1.pattern_9,83,trimmed_logos/metacluster_1.pattern_9.cwm.fwd.png,trimmed_logos/metacluster_1.pattern_9.cwm.rev.png,MA1728.1,ZNF549,0.456334,motif_logo/MA1728.1.png,MA1625.1,Stat5b,0.456334,motif_logo/MA1625.1.png,MA0144.2,STAT3,0.456334,motif_logo/MA0144.2.png
32,metacluster_1.pattern_10,83,trimmed_logos/metacluster_1.pattern_10.cwm.fwd.png,trimmed_logos/metacluster_1.pattern_10.cwm.rev.png,MA1467.2,Atoh1,0.635299,motif_logo/MA1467.2.png,MA1730.1,ZNF708,0.635299,motif_logo/MA1730.1.png,MA1964.1,SMAD2,0.7825,motif_logo/MA1964.1.png
33,metacluster_1.pattern_11,52,trimmed_logos/metacluster_1.pattern_11.cwm.fwd.png,trimmed_logos/metacluster_1.pattern_11.cwm.rev.png,MA0087.2,Sox5,0.40399,motif_logo/MA0087.2.png,MA0078.2,Sox17,0.40399,motif_logo/MA0078.2.png,MA0606.2,Nfat5,0.513091,motif_logo/MA0606.2.png
34,metacluster_1.pattern_12,35,trimmed_logos/metacluster_1.pattern_12.cwm.fwd.png,trimmed_logos/metacluster_1.pattern_12.cwm.rev.png,MA0704.1,Lhx4,0.16014,motif_logo/MA0704.1.png,MA1519.1,LHX5,0.16014,motif_logo/MA1519.1.png,MA0702.2,LMX1A,0.16014,motif_logo/MA0702.2.png
35,metacluster_1.pattern_13,33,trimmed_logos/metacluster_1.pattern_13.cwm.fwd.png,trimmed_logos/metacluster_1.pattern_13.cwm.rev.png,MA1546.1,PAX3,0.384159,motif_logo/MA1546.1.png,MA0782.2,PKNOX1,0.637175,motif_logo/MA0782.2.png,MA0674.1,NKX6-1,0.637175,motif_logo/MA0674.1.png
