,pattern,num_seqlets,modisco_cwm_fwd,modisco_cwm_rev,match0,motif_name0,qval0,match0_logo,match1,motif_name1,qval1,match1_logo,match2,motif_name2,qval2,match2_logo
0,metacluster_0.pattern_0,10539,trimmed_logos/metacluster_0.pattern_0.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_0.cwm.rev.png,MA1480.1,DPRX,0.00317944,motif_logo/MA1480.1.png,MA0714.1,PITX3,0.00949631,motif_logo/MA0714.1.png,MA0648.1,GSC,0.0157435,motif_logo/MA0648.1.png
1,metacluster_0.pattern_1,2150,trimmed_logos/metacluster_0.pattern_1.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_1.cwm.rev.png,MA0766.2,GATA5,0.368393,motif_logo/MA0766.2.png,MA0036.3,GATA2,0.368393,motif_logo/MA0036.3.png,MA0037.4,Gata3,0.368393,motif_logo/MA0037.4.png
2,metacluster_0.pattern_2,427,trimmed_logos/metacluster_0.pattern_2.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_2.cwm.rev.png,MA0095.3,Yy1,0.62103,motif_logo/MA0095.3.png,MA0148.4,FOXA1,0.62103,motif_logo/MA0148.4.png,MA0820.1,FIGLA,1.0,motif_logo/MA0820.1.png
3,metacluster_0.pattern_3,333,trimmed_logos/metacluster_0.pattern_3.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_3.cwm.rev.png,MA1718.1,ZNF8,0.98919,motif_logo/MA1718.1.png,MA0714.1,PITX3,0.98919,motif_logo/MA0714.1.png,MA0711.1,OTX1,1.0,motif_logo/MA0711.1.png
4,metacluster_0.pattern_4,249,trimmed_logos/metacluster_0.pattern_4.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_4.cwm.rev.png,MA1547.2,PITX2,0.0603072,motif_logo/MA1547.2.png,MA0712.2,OTX2,0.0823214,motif_logo/MA0712.2.png,MA0467.2,Crx,0.0823214,motif_logo/MA0467.2.png
5,metacluster_0.pattern_5,206,trimmed_logos/metacluster_0.pattern_5.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_5.cwm.rev.png,MA0122.3,Nkx3-2,0.927027,motif_logo/MA0122.3.png,MA1994.1,Nkx2-1,1.0,motif_logo/MA1994.1.png,MA0124.2,Nkx3-1,1.0,motif_logo/MA0124.2.png
6,metacluster_0.pattern_6,126,trimmed_logos/metacluster_0.pattern_6.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_6.cwm.rev.png,MA1547.2,PITX2,0.659167,motif_logo/MA1547.2.png,MA0714.1,PITX3,0.659167,motif_logo/MA0714.1.png,MA0682.2,PITX1,0.659167,motif_logo/MA0682.2.png
7,metacluster_0.pattern_7,96,trimmed_logos/metacluster_0.pattern_7.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_7.cwm.rev.png,MA1547.2,PITX2,0.564262,motif_logo/MA1547.2.png,MA0682.2,PITX1,0.564262,motif_logo/MA0682.2.png,MA0714.1,PITX3,0.564262,motif_logo/MA0714.1.png
8,metacluster_0.pattern_8,82,trimmed_logos/metacluster_0.pattern_8.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_8.cwm.rev.png,MA0036.3,GATA2,0.973575,motif_logo/MA0036.3.png,MA0766.2,GATA5,0.973575,motif_logo/MA0766.2.png,MA0080.6,Spi1,0.973575,motif_logo/MA0080.6.png
9,metacluster_0.pattern_9,31,trimmed_logos/metacluster_0.pattern_9.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_9.cwm.rev.png,MA1547.2,PITX2,0.896609,motif_logo/MA1547.2.png,MA0712.2,OTX2,0.896609,motif_logo/MA0712.2.png,MA0648.1,GSC,0.896609,motif_logo/MA0648.1.png
