,pattern,num_seqlets,modisco_cwm_fwd,modisco_cwm_rev,match0,motif_name0,qval0,match0_logo,match1,motif_name1,qval1,match1_logo,match2,motif_name2,qval2,match2_logo
0,metacluster_0.pattern_0,2945,trimmed_logos/metacluster_0.pattern_0.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_0.cwm.rev.png,MA0807.1,TBX5,0.200537,motif_logo/MA0807.1.png,MA0806.1,TBX4,0.200537,motif_logo/MA0806.1.png,MA0801.1,MGA,0.200537,motif_logo/MA0801.1.png
1,metacluster_0.pattern_1,1708,trimmed_logos/metacluster_0.pattern_1.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_1.cwm.rev.png,MA0912.2,HOXD3,0.000391723,motif_logo/MA0912.2.png,MA0886.1,EMX2,0.000837543,motif_logo/MA0886.1.png,MA0725.1,VSX1,0.000837543,motif_logo/MA0725.1.png
2,metacluster_0.pattern_2,1554,trimmed_logos/metacluster_0.pattern_2.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_2.cwm.rev.png,MA0461.2,Atoh1,1.62927e-07,motif_logo/MA0461.2.png,MA1468.1,ATOH7,7.13412e-07,motif_logo/MA1468.1.png,MA0826.1,OLIG1,1.2337e-06,motif_logo/MA0826.1.png
3,metacluster_0.pattern_3,1445,trimmed_logos/metacluster_0.pattern_3.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_3.cwm.rev.png,MA0671.1,NFIX,0.00200401,motif_logo/MA0671.1.png,MA1643.1,NFIB,0.00400802,motif_logo/MA1643.1.png,MA0739.1,Hic1,0.0301513,motif_logo/MA0739.1.png
4,metacluster_0.pattern_4,694,trimmed_logos/metacluster_0.pattern_4.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_4.cwm.rev.png,MA0842.2,NRL,0.0562306,motif_logo/MA0842.2.png,MA0785.1,POU2F1,0.0562306,motif_logo/MA0785.1.png,MA0507.2,POU2F2,0.0562306,motif_logo/MA0507.2.png
5,metacluster_0.pattern_5,595,trimmed_logos/metacluster_0.pattern_5.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_5.cwm.rev.png,MA1607.1,Foxl2,0.409082,motif_logo/MA1607.1.png,MA0800.1,EOMES,0.409082,motif_logo/MA0800.1.png,MA0480.2,Foxo1,0.409082,motif_logo/MA0480.2.png
6,metacluster_0.pattern_6,581,trimmed_logos/metacluster_0.pattern_6.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_6.cwm.rev.png,MA0787.1,POU3F2,0.00091773,motif_logo/MA0787.1.png,MA0786.1,POU3F1,0.00130116,motif_logo/MA0786.1.png,MA0788.1,POU3F3,0.00195529,motif_logo/MA0788.1.png
7,metacluster_0.pattern_7,501,trimmed_logos/metacluster_0.pattern_7.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_7.cwm.rev.png,MA0743.2,SCRT1,0.154093,motif_logo/MA0743.2.png,MA0817.1,BHLHE23,0.154093,motif_logo/MA0817.1.png,MA0681.2,PHOX2B,0.154093,motif_logo/MA0681.2.png
8,metacluster_0.pattern_8,289,trimmed_logos/metacluster_0.pattern_8.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_8.cwm.rev.png,MA1518.2,Lhx1,0.00852071,motif_logo/MA1518.2.png,MA0618.1,LBX1,0.0190839,motif_logo/MA0618.1.png,MA1960.1,MGA::EVX1,0.0190839,motif_logo/MA1960.1.png
9,metacluster_0.pattern_9,264,trimmed_logos/metacluster_0.pattern_9.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_9.cwm.rev.png,MA1115.1,POU5F1,0.00140351,motif_logo/MA1115.1.png,MA0627.2,POU2F3,0.00140351,motif_logo/MA0627.2.png,MA0786.1,POU3F1,0.00140351,motif_logo/MA0786.1.png
10,metacluster_0.pattern_10,237,trimmed_logos/metacluster_0.pattern_10.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_10.cwm.rev.png,MA0827.1,OLIG3,0.150611,motif_logo/MA0827.1.png,MA1618.1,Ptf1a,0.150611,motif_logo/MA1618.1.png,MA1638.1,HAND2,0.150611,motif_logo/MA1638.1.png
11,metacluster_0.pattern_11,183,trimmed_logos/metacluster_0.pattern_11.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_11.cwm.rev.png,MA0593.1,FOXP2,0.284126,motif_logo/MA0593.1.png,MA0819.2,CLOCK,0.284126,motif_logo/MA0819.2.png,MA0480.2,Foxo1,0.284126,motif_logo/MA0480.2.png
12,metacluster_0.pattern_12,162,trimmed_logos/metacluster_0.pattern_12.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_12.cwm.rev.png,MA1978.1,ZNF354A,0.0539487,motif_logo/MA1978.1.png,MA1125.1,ZNF384,0.0539487,motif_logo/MA1125.1.png,MA1607.1,Foxl2,0.0539487,motif_logo/MA1607.1.png
13,metacluster_0.pattern_13,155,trimmed_logos/metacluster_0.pattern_13.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_13.cwm.rev.png,MA1125.1,ZNF384,0.00160846,motif_logo/MA1125.1.png,MA0052.4,MEF2A,0.159202,motif_logo/MA0052.4.png,MA1989.1,Bcl11B,0.582911,motif_logo/MA1989.1.png
14,metacluster_0.pattern_14,144,trimmed_logos/metacluster_0.pattern_14.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_14.cwm.rev.png,MA1607.1,Foxl2,0.00265661,motif_logo/MA1607.1.png,MA0495.3,MAFF,0.00265661,motif_logo/MA0495.3.png,MA0627.2,POU2F3,0.00265661,motif_logo/MA0627.2.png
15,metacluster_0.pattern_15,138,trimmed_logos/metacluster_0.pattern_15.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_15.cwm.rev.png,MA0802.1,TBR1,1.0,motif_logo/MA0802.1.png,MA0611.2,Dux,1.0,motif_logo/MA0611.2.png,MA1718.1,ZNF8,1.0,motif_logo/MA1718.1.png
16,metacluster_0.pattern_16,138,trimmed_logos/metacluster_0.pattern_16.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_16.cwm.rev.png,MA1125.1,ZNF384,0.00717076,motif_logo/MA1125.1.png,MA0679.2,ONECUT1,0.190694,motif_logo/MA0679.2.png,MA0757.1,ONECUT3,0.31202,motif_logo/MA0757.1.png
17,metacluster_0.pattern_17,123,trimmed_logos/metacluster_0.pattern_17.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_17.cwm.rev.png,MA0690.2,TBX21,0.260312,motif_logo/MA0690.2.png,MA1978.1,ZNF354A,0.260312,motif_logo/MA1978.1.png,MA0688.1,TBX2,0.260312,motif_logo/MA0688.1.png
18,metacluster_0.pattern_18,114,trimmed_logos/metacluster_0.pattern_18.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_18.cwm.rev.png,MA1125.1,ZNF384,0.102448,motif_logo/MA1125.1.png,MA1607.1,Foxl2,0.342185,motif_logo/MA1607.1.png,MA0851.1,Foxj3,0.542153,motif_logo/MA0851.1.png
19,metacluster_0.pattern_19,95,trimmed_logos/metacluster_0.pattern_19.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_19.cwm.rev.png,MA0025.2,NFIL3,0.420832,motif_logo/MA0025.2.png,MA1105.2,GRHL2,0.420832,motif_logo/MA1105.2.png,MA0507.2,POU2F2,0.420832,motif_logo/MA0507.2.png
20,metacluster_0.pattern_20,88,trimmed_logos/metacluster_0.pattern_20.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_20.cwm.rev.png,MA1978.1,ZNF354A,0.170241,motif_logo/MA1978.1.png,MA0715.1,PROP1,0.170241,motif_logo/MA0715.1.png,MA0681.2,PHOX2B,0.170241,motif_logo/MA0681.2.png
21,metacluster_0.pattern_21,88,trimmed_logos/metacluster_0.pattern_21.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_21.cwm.rev.png,MA0826.1,OLIG1,0.0606434,motif_logo/MA0826.1.png,MA1956.1,FOXO1::FLI1,0.0606434,motif_logo/MA1956.1.png,MA1935.1,ERF::FOXI1,0.0606434,motif_logo/MA1935.1.png
22,metacluster_0.pattern_22,79,trimmed_logos/metacluster_0.pattern_22.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_22.cwm.rev.png,MA0041.2,FOXD3,0.0083991,motif_logo/MA0041.2.png,MA0901.2,HOXB13,0.0210197,motif_logo/MA0901.2.png,MA1606.1,Foxf1,0.0350264,motif_logo/MA1606.1.png
23,metacluster_0.pattern_23,71,trimmed_logos/metacluster_0.pattern_23.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_23.cwm.rev.png,MA0084.1,SRY,0.0694317,motif_logo/MA0084.1.png,MA0033.2,FOXL1,0.0694317,motif_logo/MA0033.2.png,MA0850.1,FOXP3,0.0694317,motif_logo/MA0850.1.png
24,metacluster_0.pattern_24,32,trimmed_logos/metacluster_0.pattern_24.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_24.cwm.rev.png,MA0787.1,POU3F2,0.0653373,motif_logo/MA0787.1.png,MA0786.1,POU3F1,0.0653373,motif_logo/MA0786.1.png,MA0142.1,Pou5f1::Sox2,0.0653373,motif_logo/MA0142.1.png
25,metacluster_1.pattern_0,2080,trimmed_logos/metacluster_1.pattern_0.cwm.fwd.png,trimmed_logos/metacluster_1.pattern_0.cwm.rev.png,MA1604.1,Ebf2,0.0427807,motif_logo/MA1604.1.png,MA1637.1,EBF3,0.0427807,motif_logo/MA1637.1.png,MA0116.1,Znf423,0.326938,motif_logo/MA0116.1.png
26,metacluster_1.pattern_1,1746,trimmed_logos/metacluster_1.pattern_1.cwm.fwd.png,trimmed_logos/metacluster_1.pattern_1.cwm.rev.png,MA0014.3,PAX5,0.106715,motif_logo/MA0014.3.png,MA0505.2,Nr5A2,0.106715,motif_logo/MA0505.2.png,MA0728.1,Nr2F6,0.106715,motif_logo/MA0728.1.png
27,metacluster_1.pattern_2,1506,trimmed_logos/metacluster_1.pattern_2.cwm.fwd.png,trimmed_logos/metacluster_1.pattern_2.cwm.rev.png,MA0891.1,GSC2,0.00591853,motif_logo/MA0891.1.png,MA0883.1,Dmbx1,0.00641173,motif_logo/MA0883.1.png,MA0711.1,OTX1,0.0939071,motif_logo/MA0711.1.png
28,metacluster_1.pattern_3,926,trimmed_logos/metacluster_1.pattern_3.cwm.fwd.png,trimmed_logos/metacluster_1.pattern_3.cwm.rev.png,MA0680.2,Pax7,0.442174,motif_logo/MA0680.2.png,MA0135.1,Lhx3,0.442174,motif_logo/MA0135.1.png,MA0854.1,Alx1,0.442174,motif_logo/MA0854.1.png
