Name,Coefficient,Coefficient_std_error,Coefficient_P_value,Phenotype
Neur_DRG_2,4.281597317755238e-07,1.6355623719785604e-07,0.0044247573768058,ALC
Neur_MB_GABA_TFAP2B,2.10000036113768e-07,8.79941741425692e-08,0.0085042938808776,ALC
Neur_Gly_5,4.3687799009508643e-07,2.0213811210298522e-07,0.0153366806355616,ALC
Neur_Purk_NBL_2,1.320799316529975e-07,6.13235718784351e-08,0.0156271478311757,ALC
Neur_DA,1.814574699053762e-07,8.589878096548435e-08,0.0173236408202075,ALC
Neur_Purk_NBL_1,1.33589851222335e-07,6.487149061411506e-08,0.0197327611808384,ALC
OPC_4,1.5154202814092356e-07,7.673118359993226e-08,0.0241355969874229,ALC
Neur_SER,2.67451482834162e-07,1.3901261368370956e-07,0.0271812530340932,ALC
Neur_Gly_2,2.432909763946815e-07,1.2830948884442682e-07,0.0289716831026917,ALC
OPC_5,1.85441559958736e-07,9.782631647175313e-08,0.0290051296918468,ALC
Neur_GABA_3,2.648145428948488e-07,1.4058559821027938e-07,0.0298059354516552,ALC
Neur_CB_NBL_1,1.1520866455121603e-07,6.168951543768955e-08,0.0309119470744708,ALC
Neur_MB_GABA_2,1.356896286489352e-07,7.307282149459362e-08,0.0316620034802502,ALC
Neur_GABA_1,3.68085201248599e-07,2.0178559332822546e-07,0.03406544394651,ALC
Neur_Purk_6,9.525896939919489e-08,5.428193316684224e-08,0.0396388297335728,ALC
Neur_late,3.99911624623782e-07,2.2890205659505683e-07,0.0403111932495499,ALC
OPC_6,1.4671333310173145e-07,8.457336538051781e-08,0.0413928753110373,ALC
Neur_Purk_prog,9.587477884203973e-08,5.701156514044294e-08,0.0463161858597516,ALC
VZ_prog,1.5057004827465328e-07,9.016166965073277e-08,0.0474596160170858,ALC
Neur_MB_Glut_NBL_2,1.2915932543032478e-07,8.125066853431966e-08,0.0559579700188598,ALC
Neur_MB_Glut,1.3314820168310953e-07,8.461392852311678e-08,0.0577903542500578,ALC
Neur_MB_GABA_TAL2,1.0168106644080396e-07,6.549959359792904e-08,0.0602841892955051,ALC
Rgl_Tel_ventral,1.5738011884302566e-07,1.0856777234914338e-07,0.0735846932889995,ALC
Neur_Gly_3,1.604335903728131e-07,1.147300979212554e-07,0.0810030035723838,ALC
Neur_MB_GABA_1,8.776453918538634e-08,6.5328102851864e-08,0.0895643928286641,ALC
OPC_3,1.5425032935097752e-07,1.1761675252588792e-07,0.0948502478583472,ALC
Neur_Purk_1,8.243250994200016e-08,6.324123557431292e-08,0.0962086418111747,ALC
Gbl_General_1,8.974532895005837e-08,7.17208112576604e-08,0.1054097823680549,ALC
Neur_HB_Glut_2,1.593336677781525e-07,1.3174427886513277e-07,0.1132514900878772,ALC
Neur_GABA_IPC,4.774617845415265e-07,3.965841139975629e-07,0.1143072103516161,ALC
Neur_Purk_5,7.925908272277369e-08,6.624962320251869e-08,0.1157760396847286,ALC
PreOPC_2,1.45033970920302e-07,1.2813310039317024e-07,0.1288380513448563,ALC
Neur_MB_GABA_IPC,1.939718713685972e-07,1.8037312126598008e-07,0.1410995568760858,ALC
Neur_CB_IPC_1,1.3872791966425165e-07,1.2981433971156706e-07,0.1426105352400221,ALC
Neur_MB_Glut_NBL_1,7.120396510363666e-08,6.951331326093737e-08,0.1528417780935309,ALC
Rgl_CB_3,1.5263988924282268e-07,1.5502152967497094e-07,0.1624012750233689,ALC
Neur_Gly_4,1.741231899998035e-07,1.79801139667797e-07,0.1664170910469838,ALC
Neur_Int_LGE_CGE,8.947059256853932e-08,9.552147990626897e-08,0.1744682386702287,ALC
Gbl_Di,1.094495723647262e-07,1.2291978717763558e-07,0.1866216545184751,ALC
End_1,5.507746837208888e-08,6.391966428393021e-08,0.1944353820816337,ALC
COP,6.193082600303852e-08,7.215467643017316e-08,0.1953616274099625,ALC
Neur_Purk_3,4.755229405308904e-08,5.807446976579597e-08,0.2064457543926828,ALC
Neur_CB_GNP_IPC_1,4.2001980015497786e-08,5.203726940278613e-08,0.2097894916431167,ALC
Neur_Purk_2,4.946834501449079e-08,6.14406441169882e-08,0.2103693312628511,ALC
OPC_2,9.478108616951101e-08,1.338650698729083e-07,0.2394619204281226,ALC
Neur_HB_NBL,1.078557332284536e-07,1.5510152915892857e-07,0.2434061074202164,ALC
Schwl_2,5.986561662298284e-08,8.775465297284115e-08,0.2475584362344535,ALC
Neur_Gly_1,2.5899198060449925e-07,3.807137722366532e-07,0.2481635798862617,ALC
Neur_Tel_Glut_NBL_2,4.8726032941958017e-08,8.05281492541438e-08,0.2725626720760582,ALC
Schwl_3,7.69566412930668e-08,1.284212425497001e-07,0.2745025428701551,ALC
PreOPC_1,8.73664149104311e-08,1.4661937335454692e-07,0.2756302886164346,ALC
Neur_HB_Glut,5.675722644674988e-08,1.02602216376127e-07,0.2900709732081317,ALC
Per_5,3.1257487303767495e-08,5.9240365405494174e-08,0.2988751929716244,ALC
Neur_Tel_Glut_SATB2_1,4.0376525391051927e-08,7.721961425427851e-08,0.3005291813711533,ALC
PreOPC,5.496263891786993e-08,1.0653757977287203e-07,0.302962449887436,ALC
Neur_Int_MGE,4.691747072299096e-08,9.534838321160532e-08,0.3113371842329732,ALC
Neur_CB_GNP_IPC_3,2.2020120782308738e-08,4.649251627742434e-08,0.3178828841032251,ALC
Neur_HB_GABA_1,4.531593618917122e-08,1.0542815485279077e-07,0.3336605084569453,ALC
Neur_CB_GNP_IPC_2,2.7176993541372016e-08,6.446637464069057e-08,0.3366699973780397,ALC
Neur_HB_IPC_1,2.4869750104870825e-08,6.110902786175819e-08,0.3420137549024926,ALC
Neur_CB_GABA_1,9.425783935992073e-08,2.409620637651152e-07,0.3478347036607804,ALC
Rgl_CB_VZ,4.206970072026988e-08,1.1909799898013309e-07,0.3619557607145874,ALC
Neur_Purk_4,1.3144890319930982e-08,4.9496898348591854e-08,0.3952852039120634,ALC
Neur_HB_Glut_NBL_4,1.1897740007737133e-08,4.60072136141496e-08,0.3979696390633959,ALC
Gbl_General_2,4.157848016647319e-08,1.6079828967506877e-07,0.3979814374809921,ALC
VSMC,1.3485375294282546e-08,5.731604483867348e-08,0.4069953276421903,ALC
Neur_Gly_8,4.1541524246276487e-08,1.967393415905983e-07,0.4163850883117623,ALC
Neur_Gly_6,2.8039023097238497e-08,1.482027699574736e-07,0.4249705218906626,ALC
End_10,9.515364730881301e-09,5.619706228356312e-08,0.4327719258348312,ALC
Rgl_Tel_2,3.291749275469952e-08,2.300469521670415e-07,0.4431094236026484,ALC
Per_4,7.859091901978018e-09,6.15033299327663e-08,0.4491602753809139,ALC
Per_1,5.272449524161975e-09,4.8150357706981624e-08,0.4564030814964762,ALC
