,pValue,logFC
RP11-408O19.5,0,0.773591854
FAM167A-AS1,0,0.734394618
RP4-794H19.4.3,0,0.702396024
SLMAP.1,0,0.678270491
RP11-72H11.1,0,0.672596102
PDHA1P1,0,0.67229
RP11-263C24.3,0,0.668260435
CLDN18,0,0.668186187
RP11-730N24.2,0,0.658338355
RIMS1.1,0,0.647150926
DENND6A-AS1,0,0.644363763
CTA-963H5.5,0,0.634272114
CTD-2370N5.3,0,0.628298895
RAC1P1,0,0.623159726
AC004603.4,0,0.617715675
CDIP1,0,0.615950333
TTR,0,0.614461017
RNU6-855P,0,0.614235355
RP11-442O18.1,0,0.614136501
RNU6-775P,0,0.613651472
CTD-2147F2.1,0,0.612485318
RP5-1033K19.1,0,0.612200909
UBA2.1,0,0.611748733
ADAM21,0,0.61164505
MIR3945,0,0.609589994
RP11-148I19.1.1,0,0.606072207
PLSCR4.1,0,0.602071575
RN7SKP169,0,0.599648887
GRID2.1,0,0.598638264
RP11-58D2.1,0,0.595282432
RP11-569A11.2,0,0.594040959
PLXNC1.1,0,0.593795631
SNORD113-4,0,0.593352625
UVRAG.1,0,0.588036663
RNU1-78P,0,0.587387747
AC074391.1.2,0,0.583810831
TAAR8,0,0.58303623
PPARG.1,0,0.578329638
MIR5006.1,0,0.578030399
KB-1247B1.1,0,0.577502083
RNU6-1006P,0,0.577466985
GS1-542M4.4,0,0.575543324
RP1-97J1.2,0,0.573619747
SERPINI2,0,0.572381239
RP11-577N1.1,0,0.571478997
AC097724.3,0,0.571477911
LINC00670,0,0.571177691
CTC-339D2.1,0,0.569955013
RP11-85D18.1,0,0.568739489
RP11-408J6.1,0,0.56838832
RN7SL108P,0,0.567597926
NCRNA00159,0,0.566723995
OR52J2P,0,0.566497433
TBC1D5,0,0.563599027
UBE2CP2,0,0.56305436
RF00568,0,0.56180359
RP11-167O6.2,0,0.560700417
AC093843.1,0,0.559524893
FAM19A1.1,0,0.558834914
MIR3142,0,0.557756146
RP11-449D8.1,0,0.556928347
RP1-207H1.3,0,0.555204417
RNU6-1091P,0,0.554059216
MIR4764,0,0.553007138
CTD-2152M20.2,0,0.552430498
AP000280.66,0,0.551406498
CTD-2021H9.1,0,0.551214077
EHF.1,0,0.550815486
LRRC49.1,0,0.550620987
RF00012.2,0,0.550407816
C12orf65,0,0.549317439
RP11-456A18.1,0,0.548865811
