,pValue,logFC
LINC01551,0,4.745693104
AL512308.1,0,2.681680748
TFAP2C,0,2.545682953
AC004852.2,0,2.257625543
EMX1,0,2.204926786
AC013727.2,0,2.109432965
FOXG1,0,1.816052048
LINC01967,0,1.742257858
EOMES,0,1.724337984
FOXG1-AS1,0,1.683967916
TBX15,0,1.662652542
LINC01965,0,1.607605111
LINC02487,0,1.442851286
AC017053.1,0,1.314639907
ARX,0,1.313385477
KIF18B,0,1.259174103
DIAPH3,0,1.245279025
LINC01515,0,1.210466553
NEIL3,0,1.160762247
NEUROG1,0,1.156609701
PPP1R17,0,1.147156236
COL4A6,0,1.142937258
SMOC1,0,1.14058391
CRHR2,0,1.137618885
AL133166.1,0,1.130242517
NEUROD4,0,1.123701399
PLD1,0,1.099111635
STXBP6,0,1.095822914
1-Dec,0,1.093930092
ABCA8,0,1.091234287
EMX2,0,1.080514084
OTX1,0,1.077626559
LINC01748,0,1.071972462
EXO1,0,1.05689986
CRB1,0,1.056350324
TNC,0,1.052371128
DAPK2,0,1.045487378
COL4A5,0,1.036436276
ESPL1,0,1.023904178
PIF1,0,1.022267673
MIR924HG,0,1.017823563
E2F8,0,1.010453599
TROAP,0,1.003863289
DLGAP5,0,1.002494103
PKHD1,0,1.000748238
PIK3C2G,0,1.000597165
FOXN4,0,0.999491636
SGO1,0,0.99801946
PAX3,0,0.986574957
FYCO1,0,0.985553091
SOX21-AS1,0,0.982137041
KIF11,0,0.971863737
PENK,0,0.964123899
ADAMTS6,0,0.959345312
ASPM,0,0.957776276
AL136322.1,0,0.953810029
AC125613.1,0,0.942947
NEDD4,0,0.925610729
FREM1,0,0.924008081
AP001021.3,0,0.922698109
ADAMTS12,0,0.920730834
SLCO4C1,0,0.920427542
SOX6,0,0.919319824
E2F7,0,0.915166425
KIF23,0,0.91091165
KIF14,0,0.909753655
KIRREL2,0,0.909503854
MELK,0,0.905235081
AC005909.2,0,0.904646627
CA12,0,0.902531514
MFGE8,0,0.901688028
SERPINI2,0,0.901521317
ANKFN1,0,0.895397776
GTSE1,0,0.89399901
AC099792.1,0,0.889846476
