,pattern,num_seqlets,modisco_cwm_fwd,modisco_cwm_rev,match0,motif_name0,qval0,match0_logo,match1,motif_name1,qval1,match1_logo,match2,motif_name2,qval2,match2_logo
0,metacluster_0.pattern_0,2262,trimmed_logos/metacluster_0.pattern_0.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_0.cwm.rev.png,MA0070.1,PBX1,0.17844,motif_logo/MA0070.1.png,MA1639.1,MEIS1,0.17844,motif_logo/MA1639.1.png,MA0680.2,Pax7,0.621341,motif_logo/MA0680.2.png
1,metacluster_0.pattern_1,1108,trimmed_logos/metacluster_0.pattern_1.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_1.cwm.rev.png,MA0671.1,NFIX,0.191253,motif_logo/MA0671.1.png,MA1527.1,NFIC,0.248606,motif_logo/MA1527.1.png,MA0739.1,Hic1,0.256724,motif_logo/MA0739.1.png
2,metacluster_0.pattern_2,1053,trimmed_logos/metacluster_0.pattern_2.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_2.cwm.rev.png,MA1530.1,NKX6-3,0.0517986,motif_logo/MA1530.1.png,MA1549.1,POU6F1,0.143392,motif_logo/MA1549.1.png,MA1496.1,HOXA4,0.143392,motif_logo/MA1496.1.png
3,metacluster_0.pattern_3,247,trimmed_logos/metacluster_0.pattern_3.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_3.cwm.rev.png,MA0774.1,MEIS2,0.553336,motif_logo/MA0774.1.png,MA0775.1,MEIS3,0.553336,motif_logo/MA0775.1.png,MA1723.1,PRDM9,0.553336,motif_logo/MA1723.1.png
4,metacluster_0.pattern_4,247,trimmed_logos/metacluster_0.pattern_4.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_4.cwm.rev.png,MA1993.1,Neurod2,0.0844839,motif_logo/MA1993.1.png,MA1997.1,Olig2,0.0844839,motif_logo/MA1997.1.png,MA0633.2,Twist2,0.0844839,motif_logo/MA0633.2.png
5,metacluster_0.pattern_5,153,trimmed_logos/metacluster_0.pattern_5.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_5.cwm.rev.png,MA1608.1,Isl1,1.0,motif_logo/MA1608.1.png,MA0502.2,NFYB,1.0,motif_logo/MA0502.2.png,MA0490.2,JUNB,1.0,motif_logo/MA0490.2.png
6,metacluster_0.pattern_6,110,trimmed_logos/metacluster_0.pattern_6.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_6.cwm.rev.png,MA0833.2,ATF4,0.552744,motif_logo/MA0833.2.png,MA1636.1,CEBPG,0.552744,motif_logo/MA1636.1.png,MA0488.1,JUN,0.552744,motif_logo/MA0488.1.png
7,metacluster_0.pattern_7,94,trimmed_logos/metacluster_0.pattern_7.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_7.cwm.rev.png,MA1728.1,ZNF549,1.0,motif_logo/MA1728.1.png,MA0502.2,NFYB,1.0,motif_logo/MA0502.2.png,MA1979.1,ZNF416,1.0,motif_logo/MA1979.1.png
8,metacluster_0.pattern_8,80,trimmed_logos/metacluster_0.pattern_8.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_8.cwm.rev.png,MA0515.1,Sox6,0.56798,motif_logo/MA0515.1.png,MA0135.1,Lhx3,0.56798,motif_logo/MA0135.1.png,MA0683.1,POU4F2,0.56798,motif_logo/MA0683.1.png
9,metacluster_0.pattern_9,31,trimmed_logos/metacluster_0.pattern_9.cwm.fwd.png,trimmed_logos/metacluster_0.pattern_9.cwm.rev.png,MA0833.2,ATF4,1.0,motif_logo/MA0833.2.png,MA1126.1,FOS::JUN,1.0,motif_logo/MA1126.1.png,MA1608.1,Isl1,1.0,motif_logo/MA1608.1.png
10,metacluster_1.pattern_0,78,trimmed_logos/metacluster_1.pattern_0.cwm.fwd.png,trimmed_logos/metacluster_1.pattern_0.cwm.rev.png,MA0712.2,OTX2,0.00166832,motif_logo/MA0712.2.png,MA0467.2,Crx,0.00166832,motif_logo/MA0467.2.png,MA1547.2,PITX2,0.00368991,motif_logo/MA1547.2.png
11,metacluster_1.pattern_1,58,trimmed_logos/metacluster_1.pattern_1.cwm.fwd.png,trimmed_logos/metacluster_1.pattern_1.cwm.rev.png,MA0149.1,EWSR1-FLI1,0.071403,motif_logo/MA0149.1.png,MA1723.1,PRDM9,0.071403,motif_logo/MA1723.1.png,MA0528.2,ZNF263,0.071403,motif_logo/MA0528.2.png
12,metacluster_1.pattern_2,57,trimmed_logos/metacluster_1.pattern_2.cwm.fwd.png,trimmed_logos/metacluster_1.pattern_2.cwm.rev.png,MA1637.1,EBF3,0.274331,motif_logo/MA1637.1.png,MA1604.1,Ebf2,0.274331,motif_logo/MA1604.1.png,MA0154.4,EBF1,0.274331,motif_logo/MA0154.4.png
13,metacluster_1.pattern_3,54,trimmed_logos/metacluster_1.pattern_3.cwm.fwd.png,trimmed_logos/metacluster_1.pattern_3.cwm.rev.png,MA0812.1,TFAP2B,0.0638069,motif_logo/MA0812.1.png,MA0524.2,TFAP2C,0.205835,motif_logo/MA0524.2.png,MA1569.1,TFAP2E,0.205835,motif_logo/MA1569.1.png
14,metacluster_1.pattern_4,47,trimmed_logos/metacluster_1.pattern_4.cwm.fwd.png,trimmed_logos/metacluster_1.pattern_4.cwm.rev.png,MA0135.1,Lhx3,0.145229,motif_logo/MA0135.1.png,MA0790.1,POU4F1,0.145229,motif_logo/MA0790.1.png,MA0680.2,Pax7,0.145229,motif_logo/MA0680.2.png
15,metacluster_1.pattern_5,46,trimmed_logos/metacluster_1.pattern_5.cwm.fwd.png,trimmed_logos/metacluster_1.pattern_5.cwm.rev.png,MA0844.1,XBP1,0.432387,motif_logo/MA0844.1.png,MA0093.3,USF1,0.552924,motif_logo/MA0093.3.png,MA0492.1,JUND,0.552924,motif_logo/MA0492.1.png
16,metacluster_1.pattern_6,43,trimmed_logos/metacluster_1.pattern_6.cwm.fwd.png,trimmed_logos/metacluster_1.pattern_6.cwm.rev.png,MA1637.1,EBF3,1.0,motif_logo/MA1637.1.png,MA0494.1,Nr1h3::Rxra,1.0,motif_logo/MA0494.1.png,MA1604.1,Ebf2,1.0,motif_logo/MA1604.1.png
17,metacluster_1.pattern_7,42,trimmed_logos/metacluster_1.pattern_7.cwm.fwd.png,trimmed_logos/metacluster_1.pattern_7.cwm.rev.png,MA0154.4,EBF1,0.0277504,motif_logo/MA0154.4.png,MA1637.1,EBF3,0.0393084,motif_logo/MA1637.1.png,MA1604.1,Ebf2,0.0393084,motif_logo/MA1604.1.png
18,metacluster_1.pattern_8,41,trimmed_logos/metacluster_1.pattern_8.cwm.fwd.png,trimmed_logos/metacluster_1.pattern_8.cwm.rev.png,MA0831.3,TFE3,0.0310413,motif_logo/MA0831.3.png,MA0636.1,BHLHE41,0.0310413,motif_logo/MA0636.1.png,MA0692.1,TFEB,0.042544,motif_logo/MA0692.1.png
19,metacluster_1.pattern_9,40,trimmed_logos/metacluster_1.pattern_9.cwm.fwd.png,trimmed_logos/metacluster_1.pattern_9.cwm.rev.png,MA0858.1,Rarb,1.0,motif_logo/MA0858.1.png,MA0490.2,JUNB,1.0,motif_logo/MA0490.2.png,MA0508.3,PRDM1,1.0,motif_logo/MA0508.3.png
20,metacluster_1.pattern_10,40,trimmed_logos/metacluster_1.pattern_10.cwm.fwd.png,trimmed_logos/metacluster_1.pattern_10.cwm.rev.png,MA0154.4,EBF1,0.0684146,motif_logo/MA0154.4.png,MA1604.1,Ebf2,0.151956,motif_logo/MA1604.1.png,MA0524.2,TFAP2C,0.151956,motif_logo/MA0524.2.png
21,metacluster_1.pattern_11,37,trimmed_logos/metacluster_1.pattern_11.cwm.fwd.png,trimmed_logos/metacluster_1.pattern_11.cwm.rev.png,MA0498.2,MEIS1,0.210423,motif_logo/MA0498.2.png,MA0050.3,Irf1,1.0,motif_logo/MA0050.3.png,MA0857.1,Rarb,1.0,motif_logo/MA0857.1.png
22,metacluster_1.pattern_12,36,trimmed_logos/metacluster_1.pattern_12.cwm.fwd.png,trimmed_logos/metacluster_1.pattern_12.cwm.rev.png,MA0153.2,HNF1B,0.109683,motif_logo/MA0153.2.png,MA0046.2,HNF1A,0.151577,motif_logo/MA0046.2.png,MA1639.1,MEIS1,0.517488,motif_logo/MA1639.1.png
23,metacluster_1.pattern_13,32,trimmed_logos/metacluster_1.pattern_13.cwm.fwd.png,trimmed_logos/metacluster_1.pattern_13.cwm.rev.png,MA1969.1,THRA,0.421283,motif_logo/MA1969.1.png,MA0017.2,NR2F1,0.421283,motif_logo/MA0017.2.png,MA0670.1,NFIA,0.599785,motif_logo/MA0670.1.png
