GENE                CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
AL669831.3            1     536816     659930      8       4  137619      0.46023      0.32268
AL645608.6            1     840214     851356      2       1   97695     -0.16831      0.56683
SAMD11                1     860260     879955      2       1  154458       1.1749      0.12002
NOC2L                 1     879584     894689      3       2  134731    0.0087514      0.49651
AL645608.7            1     931346     933431      5       2  155989      0.60523      0.27251
HES4                  1     934342     935552     23      13  130698       1.1524      0.12457
ISG15                 1     948803     949920      2       1  123267      0.63933       0.2613
AGRN                  1     955503     991496      6       4  135540       1.4069     0.079727
LINC01342             1    1072397    1079436      4       1  169328      -1.5096      0.93442
TNFRSF18              1    1138888    1142071      2       1  107730       1.5927      0.05561
TNFRSF4               1    1146706    1149518      9       5  154848      0.15126      0.43989
C1QTNF12              1    1177826    1182102      2       1   97695      0.69579      0.24328
AL162741.1            1    1185157    1186714      1       1  135910      -1.5196       0.9357
ACAP3                 1    1227756    1244989      3       2  128799      0.22095      0.41257
DVL1                  1    1270656    1284730      1       1  124394      -1.9756       0.9759
MXRA8                 1    1288069    1297157      4       2  112546     -0.21242      0.58411
MRPL20                1    1337288    1342693      1       1  143265       1.4877      0.06842
ANKRD65               1    1353800    1357149      1       1  143265     -0.11834       0.5471
VWA1                  1    1370241    1378262     17       9  123662     -0.40633      0.65775
ATAD3B                1    1407143    1433228      4       2   99167     -0.43899      0.66967
ATAD3A                1    1447531    1470067      1       1  173005      -1.5624       0.9409
TMEM240               1    1470554    1475833      1       1  165650      -1.7542       0.9603
MMP23B                1    1567474    1570639      2       1  143265        1.107      0.13415
CDK11A                1    1634169    1655766      2       1  111917       -1.226      0.88989
NADK                  1    1682671    1711896      8       4  144479      0.19409      0.42305
GNB1                  1    1716729    1822495      5       3  139476       -1.035      0.84966
TMEM52                1    1849029    1850712      1       1  143265      0.10497       0.4582
CFAP74                1    1853396    1935276      3       1  123198        2.921    0.0017445
GABRD                 1    1950780    1962192      1       1  135910      0.69988        0.242
PRKCZ                 1    1981909    2116834      2       1  173005      -1.2437      0.89319
FAAP20                1    2115903    2144159      1       1  143265     -0.44572       0.6721
SKI                   1    2160134    2241558     31      12  148248      0.98748       0.1617
AL590822.3            1    2246479    2254524      3       2  135339     -0.38813      0.65104
AL139246.1            1    2423739    2424697      1       1  159229      0.55368       0.2899
HES5                  1    2460184    2461684      6       2  158825       1.0626      0.14397
TNFRSF14              1    2487078    2496821      2       1  173005       1.8757     0.030347
TTC34                 1    2567415    2718286      3       2  154350     -0.41699      0.66166
PRDM16-DT             1    2976179    2985001      3       2  125650      0.86974      0.19222
AL008733.1            1    3049491    3050273      9       3  163628      0.94166      0.17318
ARHGEF16              1    3370990    3397677      9       6  122490       1.0645      0.14356
MEGF6                 1    3406484    3528059      2       1  141890       2.2392     0.012572
TPRG1L                1    3541566    3546691      4       2  173005       1.0835      0.13929
AL136528.1            1    3575502    3585336      4       2  117188      0.23636      0.40658
TP73-AS2              1    3628764    3630862      2       1  107730      0.61074      0.27069
SMIM1                 1    3689352    3692546      3       2  156801      0.70332      0.24093
DFFB                  1    3773845    3801993      3       2  163092    -0.042444      0.51693
AJAP1                 1    4714792    4852594      2       1  173005      0.18679      0.42591
KCNAB2                1    6051526    6161253      7       4  156496     -0.76755      0.77862
CHD5                  1    6161853    6240183      4       1  163731       2.2863     0.011119
RNF207                1    6265535    6281359      1       1  173005      0.85275       0.1969
ICMT                  1    6281253    6296032      1       1  173005       1.0736       0.1415
HES3                  1    6304252    6305638      2       1  134749     -0.43013      0.66645
GPR153                1    6307406    6321035      7       2  161092       -1.073      0.85837
TNFRSF25              1    6521211    6526255      3       1  134731      0.77278      0.21983
PLEKHG5               1    6526152    6580121     13       7  151636      0.95863      0.16887
CAMTA1                1    6845384    7829766     15       8  155183      0.95894       0.1688
AL359881.3            1    7753184    7754904      3       2  173005       1.6239     0.052201
PER3                  1    7844380    7905237     18       8  153427      0.71741      0.23656
Z98884.1              1    7870302    7887402      4       2  117716      0.56868      0.28479
ERRFI1                1    8064464    8086368      2       1  173005     0.063168      0.47482
SLC2A5                1    9095166    9148537      5       3  141336      0.73593      0.23089
GPR157                1    9160364    9189229      1       1  173005     -0.67166       0.7491
MIR34AHG              1    9242066    9262678     10       7  153680       1.2415      0.10721
SPSB1                 1    9352939    9429591      9       4  169991     -0.14232      0.55659
PIK3CD                1    9711790    9789172     24      14  119425      0.58534      0.27916
PIK3CD-AS2            1    9732484    9747613     10       6  137831      0.19013      0.42461
CLSTN1                1    9789084    9884584      1       1  165650     -0.14919       0.5593
NMNAT1                1   10003486   10045559      3       2  136039       1.1064      0.13428
RBP7                  1   10057264   10076078      5       2  165586     -0.31184      0.62242
UBE4B                 1   10092890   10241297      3       2  134731      0.29173      0.38525
